botid, date, time, press, alk, 
#, mmddyy, hhmmss, dbar, ueq/kg, 
0440200410, 012093, 064754,  160.5,  2317,
0440200408, 012093, 064544,  198.1,  2311,
0440200512, 012093, 100604,    9.1,  2307,
0440200511, 012093, 100428,   24.7,  2308,
0440200510, 012093, 100321,   35.6,  2308,
0440200509, 012093, 100211,   45.3,  2301,
0440200507, 012093, 095907,   75.5,  2306,
0440200505, 012093, 095707,   95.3,  2300,
0440200502, 012093, 095354,  130.4,  2306,
0450200621, 021793, 071005,    5.1,  2299,
0450200618, 021793, 070703,   24.3,  2304,
0450200617, 021793, 070557,   35.5,  2301,
0450200616, 021793, 070450,   45.4,  2301,
0450200614, 021793, 070157,   74.3,  2304,
0450200612, 021793, 065942,   94.6,  2313,
0450200610, 021793, 065657,  114.5,  2311,
0450200609, 021793, 065354,  124.5,  2310,
0450200607, 021793, 065048,  151.5,  2299,
0450200605, 021793, 064800,  175.4,  2293,
0460200323, 041493, 071322,    3.8,  2302,
0460200320, 041493, 071013,   26.0,  2301,
0460200318, 041493, 070831,   44.4,  2305,
0460200317, 041493, 070738,   60.2,  2299,
0460200316, 041493, 070643,   75.5,  2309,
0460200314, 041493, 070452,   95.9,  2309,
0460200311, 041493, 070154,  125.0,  2316,
0460200309, 041493, 065937,  150.4,  2312,
0460200307, 041493, 065652,  176.2,  2316,
0460200305, 041493, 065418,  196.2,  2301,
0470200921, 052193, 020414,   24.5,  2306,
0470200919, 052193, 020232,   34.9,  2296,
0470200918, 052193, 020124,   45.0,  2303,
0470200917, 052193, 015956,   55.1,  2307,
0470200916, 052193, 015822,   74.7,  2307,
0470200914, 052193, 015611,   95.3,  2311,
0470200912, 052193, 015321,  116.4,  2307,
0470200909, 052193, 014941,  150.1,  2309,
0470200907, 052193, 014625,  176.4,  2319,
0490200723, 091493, 063900,    5.4,  2322,
0490200722, 091493, 063652,   15.6,  2321,
0490200721, 091493, 063459,   25.6,  2320,
0490200719, 091493, 063103,   46.6,  2327,
0490200716, 091493, 062523,   76.2,  2321,
0490200714, 091493, 062137,   96.4,  2318,
0490200710, 091493, 061437,  125.6,  2308,
0490200707, 091493, 060857,  154.2,  2301,
0490200705, 091493, 060454,  177.7,  2295,
0500200623, 102993, 074530,    7.1,  2312,
0500200622, 102993, 074421,   17.2,  2314,
0500200620, 102993, 074255,   27.1,  2309,
0500200619, 102993, 074117,   37.3,  2327,
0500200618, 102993, 074000,   48.4,  2325,
0500200617, 102993, 073831,   58.5,  2326,
0500200616, 102993, 073558,   80.3,  2323,
0500200615, 102993, 073442,   78.9,  2316,
0500200614, 102993, 073318,   93.4,  2317,
0500200613, 102993, 073200,  105.2,  2316,
0500200612, 102993, 073009,  117.8,  2318,
0500200610, 102993, 072754,  125.0,  2321,
0500200608, 102993, 072512,  138.4,  2323,
0500200606, 102993, 072201,  163.4,  2302,
0500200605, 102993, 072023,  176.8,  2303,
0500200604, 102993, 071824,  182.6,  2294,
0500200603, 102993, 071650,  197.4,  2289,
0510200422, 012094, 091215,    7.5,  2334,
0510200421, 012094, 091156,   17.1,  2321,
0510200419, 012094, 090954,   27.3,  2331,
0510200418, 012094, 090940,   36.7,  2319,
0510200416, 012094, 090726,   62.9,  2316,
0510200415, 012094, 090613,   76.6,  2313,
0510200413, 012094, 090409,   96.1,  2314,
0510200412, 012094, 090312,  106.4,  2325,
0510200411, 012094, 090218,  114.6,  2324,
0510200410, 012094, 090118,  125.7,  2315,
0510200409, 012094, 090023,  136.4,  2329,
0510200408, 012094, 085920,  153.1,  2339,
0510200407, 012094, 085751,  163.9,  2320,
0510200406, 012094, 085648,  168.8,  2324,
0510200405, 012094, 085513,  184.9,  2346,
0520200417, 021794, 040012,  186.2,  2316,
0520200416, 021794, 035901,  199.0,  2306,
0520200517, 021794, 065711,    4.8,  2306,
0520200516, 021794, 065604,   15.0,  2314,
0520200515, 021794, 065455,   25.4,  2313,
0520200514, 021794, 065351,   35.0,  2314,
0520200513, 021794, 065249,   44.9,  2315,
0520200512, 021794, 065129,   61.4,  2320,
0520200511, 021794, 065000,   77.8,  2321,
0520200510, 021794, 064852,   85.6,  2321,
0520200509, 021794, 064752,   95.4,  2338,
0520200508, 021794, 064651,  106.1,  2333,
0520200507, 021794, 064545,  114.4,  2326,
0520200506, 021794, 064445,  125.5,  2340,
0520200505, 021794, 064343,  135.2,  2321,
0520200504, 021794, 064230,  150.4,  2324,
