botid, date, time, press, chl, 
#, mmddyy, hhmmss, dbar, ug/l, 
0440200411, 012093, 064858,  149.7,   0.06,
0440200410, 012093, 064754,  160.5,   0.03,
0440200409, 012093, 064644,  173.8,   0.01,
0440200408, 012093, 064544,  198.1,   0.02,
0440200512, 012093, 100604,    9.1,   0.11,
0440200511, 012093, 100428,   24.7,   0.16,
0440200509, 012093, 100211,   45.3,   0.19,
0440200507, 012093, 095907,   75.5,   0.21,
0440200506, 012093, 095814,   86.1,   0.22,
0440200505, 012093, 095707,   95.3,   0.22,
0440200504, 012093, 095551,  104.0,   0.21,
0440200502, 012093, 095354,  130.4,   0.18,
0440210008, 012093, -00009,    5.0,   0.12,
0440210007, 012093, -00009,   25.0,   0.18,
0440210006, 012093, -00009,   45.0,   0.18,
0440210005, 012093, -00009,   75.0,   0.19,
0440210004, 012093, -00009,  100.0,   0.20,
0440210003, 012093, -00009,  125.0,   0.15,
0440210002, 012093, -00009,  150.0,   0.08,
0440210001, 012093, -00009,  175.0,   0.08,
0450200621, 021793, 071005,    5.1,   0.08,
0450200620, 021793, 070835,   14.9,   0.07,
0450200618, 021793, 070703,   24.3,   0.08,
0450200617, 021793, 070557,   35.5,   0.08,
0450200616, 021793, 070450,   45.4,   0.11,
0450200615, 021793, 070319,   58.7,   0.31,
0450200614, 021793, 070157,   74.3,   0.29,
0450200613, 021793, 070040,   84.6,   0.18,
0450200612, 021793, 065942,   94.6,   0.13,
0450200611, 021793, 065829,  104.7,   0.10,
0450200609, 021793, 065354,  124.5,   0.04,
0450200608, 021793, 065233,  137.0,   0.02,
0450200607, 021793, 065048,  151.5,   0.01,
0450200606, 021793, 064924,  161.8,   0.01,
0450200605, 021793, 064800,  175.4,   0.00,
0450201521, -00009, -00009,    5.8,   0.07,
0450201520, -00009, -00009,   26.1,   0.07,
0450201519, -00009, -00009,   46.0,   0.10,
0450201518, -00009, -00009,   64.9,   0.22,
0450201517, -00009, -00009,   71.0,   0.28,
0450201516, 021893, 094807,   75.5,   0.32,
0450201515, 021893, 094627,   85.2,   0.30,
0450201514, 021893, 094501,   95.2,   0.27,
0450201513, 021893, 094357,  105.2,   0.25,
0450201512, 021893, 094300,  125.2,   0.06,
0450201511, 021893, 094205,  150.9,   0.04,
0450201510, 021893, 094111,  176.6,   0.00,
0450210008, 021793, -00009,    5.0,   0.09,
0450210007, 021793, -00009,   25.0,   0.09,
0450210006, 021793, -00009,   45.0,   0.08,
0450210005, 021793, -00009,   75.0,   0.10,
0450210004, 021793, -00009,  100.0,   0.14,
0450210003, 021793, -00009,  125.0,   0.09,
0450210002, 021793, -00009,  150.0,   0.04,
0450210001, 021793, -00009,  175.0,   0.01,
0460200323, 041493, 071322,    3.8,   0.07,
0460200322, 041493, 071130,   15.0,   0.07,
0460200320, 041493, 071013,   26.0,   0.07,
0460200319, 041493, 070922,   34.9,   0.08,
0460200318, 041493, 070831,   44.4,   0.08,
0460200317, 041493, 070738,   60.2,   0.09,
0460200316, 041493, 070643,   75.5,   0.10,
0460200315, 041493, 070547,   85.4,   0.12,
0460200314, 041493, 070452,   95.9,   0.14,
0460200313, 041493, 070356,  104.9,   0.14,
0460200312, 041493, 070245,  115.0,   0.26,
0460200311, 041493, 070154,  125.0,   0.27,
0460200310, 041493, 070057,  134.9,   0.15,
0460200309, 041493, 065937,  150.4,   0.10,
0460200308, 041493, 065841,  160.0,   0.08,
0460200307, 041493, 065652,  176.2,   0.04,
0460200305, 041493, 065418,  196.2,   0.03,
0460200921, 041593, 073446,   74.2,   0.09,
0460200920, 041593, 073259,   89.6,   0.17,
0460200919, 041593, 073056,  100.2,   0.23,
0460200918, 041593, 072907,  103.7,   0.24,
0460200917, 041593, 072714,  109.2,   0.26,
0460200916, 041593, 072534,  114.1,   0.25,
0460200911, 041593, 071518,  119.5,   0.26,
0460200910, 041593, 071311,  124.6,   0.26,
0460210008, 041593, -00009,    5.0,   0.07,
0460210007, 041593, -00009,   25.0,   0.07,
0460210006, 041593, -00009,   45.0,   0.07,
