botid, date, time, press, chlb, 
#, mmddyy, hhmmss, dbar, ng/l, 
0440201312, 012193, 114728,    5.2,  16.0,
0440201311, 012193, 114612,   24.7,  16.0,
0440201310, 012193, 114512,   43.4,  16.0,
0440201308, 012193, 114258,   90.0,  33.0,
0440201306, 012193, 114106,  113.4, 119.0,
0440201305, 012193, 114002,  124.5,  73.0,
0440201304, 012193, 113843,  150.9,  27.0,
0440201303, 012193, 113719,  176.5,   4.0,
0450201521, -00009, -00009,    5.8,   3.0,
0450201520, -00009, -00009,   26.1,   3.0,
0450201519, -00009, -00009,   46.0,  10.0,
0450201518, -00009, -00009,   64.9,  80.0,
0450201517, -00009, -00009,   71.0,  83.0,
0450201516, 021893, 094807,   75.5,  94.0,
0450201515, 021893, 094627,   85.2, 109.0,
0450201514, 021893, 094501,   95.2,  82.0,
0450201513, 021893, 094357,  105.2,  63.0,
0450201512, 021893, 094300,  125.2,  44.0,
0450201511, 021893, 094205,  150.9,  27.0,
0450201510, 021893, 094111,  176.6,   4.0,
0460200924, 041593, 074146,    5.8,   2.0,
0460200923, 041593, 073917,   23.7,   5.0,
0460200922, 041593, 073706,   43.8,   3.0,
0460200921, 041593, 073446,   74.2,   9.0,
0460200920, 041593, 073259,   89.6,  24.0,
0460200919, 041593, 073056,  100.2,  48.0,
0460200918, 041593, 072907,  103.7,  45.0,
0460200917, 041593, 072714,  109.2,  57.0,
0460200916, 041593, 072534,  114.1,  45.0,
0460200911, 041593, 071518,  119.5,  62.0,
0460200910, 041593, 071311,  124.6,  82.0,
0460200909, 041593, 071047,  135.1, 129.0,
0460200908, 041593, 070838,  149.8, 102.0,
0460200903, 041593, 065936,  173.1,  34.0,
0470200324, 052093, 075149,    6.7,   4.0,
0470200323, 052093, 075043,   24.5,   3.0,
0470200322, 052093, 074926,   45.1,   5.0,
0470200321, 052093, 074754,   75.7,  10.0,
0470200320, 052093, 074629,  100.7,  25.0,
0470200319, 052093, 074528,  109.4,  49.0,
0470200318, 052093, 074420,  119.2,  70.0,
0470200317, 052093, 074250,  128.8, 105.0,
0470200316, 052093, 074152,  135.1, 148.0,
0470200311, 052093, 073917,  140.2, 133.0,
0470200310, 052093, 073817,  144.1, 124.0,
0470200309, 052093, 073646,  160.8,  76.0,
0470200308, 052093, 073515,  174.7,  22.0,
0470200303, 052093, 073115,  203.0,  12.0,
0490201720, 091593, 100413,   25.3,   9.0,
0490201715, 091593, 095910,   75.9,  12.0,
0490201714, 091593, 095653,  100.7, 110.0,
0490201713, 091593, 095515,  115.9, 146.0,
0490201712, 091593, 095338,  120.7, 166.0,
0490201711, 091593, 095228,  125.9, 167.0,
0490201710, 091593, 095104,  130.1, 139.0,
0490201709, 091593, 094929,  139.9, 137.0,
0490201708, 091593, 094803,  149.8,  82.0,
0490201707, 091593, 094744,  150.1,  92.0,
0490201705, 091593, 094534,  175.4,  17.0,
0500201419, 103093, 092427,    5.7,   4.0,
0500201417, 103093, 092106,   47.4,   9.0,
0500201416, 103093, 091942,   61.8,  17.0,
0500201415, 103093, 091825,   74.4,  30.0,
0500201414, 103093, 091652,   90.0, 103.0,
0500201413, 103093, 091531,  100.4, 138.0,
0500201412, 103093, 091413,  110.8, 127.0,
0500201411, 103093, 091254,  115.6, 118.0,
0500201410, 103093, 091128,  119.7, 111.0,
0500201409, 103093, 091009,  125.6, 115.0,
0500201408, 103093, 090837,  137.1,  51.0,
0500201407, 103093, 090700,  151.7,  17.0,
0510201317, 012194, 134205,    7.1,  15.0,
0510201315, 012194, 134004,   27.0,  16.0,
0510201314, 012194, 133847,   46.3,  17.0,
0510201312, 012194, 133607,   75.0,  16.0,
0510201311, 012194, 133448,   89.6,  15.0,
0510201310, 012194, 133335,  100.1,  32.0,
0510201309, 012194, 133208,  116.0, 100.0,
0510201308, 012194, 133058,  126.1, 105.0,
0510201307, 012194, 132951,  135.3,  78.0,
0510201306, 012194, 132820,  148.8,  45.0,
0510201305, 012194, 132635,  173.7,   4.0,
0520201316, 021894, 084037,    6.3,  16.0,
0520201315, 021894, 083907,   25.8,   8.0,
0520201314, 021894, 083738,   44.2,  26.0,
0520201313, 021894, 083603,   60.5,  34.0,
0520201312, 021894, 083438,   77.5,  31.0,
0520201311, 021894, 083342,   86.1,  58.0,
0520201309, 021894, 083058,  126.4,  49.0,
0520201308, 021894, 082956,  135.6,  41.0,
0520201307, 021894, 082843,  149.8,  16.0,
0520201306, 021894, 082712,  174.0,   4.0,
0530201516, 031094, 085819,    4.5,   7.0,
0530201515, 031094, 085707,   24.4,  10.0,
0530201514, 031094, 085604,   44.5,   8.0,
0530201513, 031094, 085457,   74.7,  19.0,
0530201512, 031094, 085345,   99.4,  61.0,
0530201511, 031094, 085213,  124.6, 169.0,
0530201510, 031094, 085103,  141.0, 199.0,
0530201509, 031094, 085009,  145.1, 203.0,
0530201508, 031094, 084919,  150.0, 228.0,
0530201507, 031094, 084827,  154.6, 212.0,
0530201506, 031094, 084732,  160.5, 210.0,
0530201505, 031094, 084637,  176.1, 104.0,
0540200415, 061894, 203509,    5.1,   2.0,
0540200414, 061894, 203329,   24.0,   2.0,
0540200413, 061894, 203143,   44.4,   3.0,
0540200412, 061894, 202924,   74.9,  12.0,
0540200411, 061894, 202719,   98.7,  21.0,
0540200410, 061894, 202711,   98.7,  21.0,
0540200409, 061894, 202510,  126.0,  74.0,
0540200408, 061894, 202329,  140.4, 111.0,
0540200407, 061894, 202156,  150.0, 106.0,
0540200406, 061894, 202004,  160.3,  88.0,
0540200405, 061894, 201825,  175.1,  59.0,
0540200404, 061894, 201621,  201.4,  13.0,
0550201312, 072694, 121000,    5.2,   5.0,
0550201311, 072694, 120824,   24.9,   5.0,
0550201310, 072694, 120645,   43.6,   7.0,
0550201309, 072694, 120516,   74.6,  15.0,
0550201308, 072694, 120326,  100.6,  78.0,
0550201307, 072694, 120156,  109.9,  94.0,
0550201306, 072694, 120028,  123.8,  80.0,
0550201305, 072694, 115806,  150.5,  42.0,
0550201304, 072694, 115602,  173.7,   9.0,
0550201407, 072694, 145513,   49.2,  16.0,
0550201404, 072694, 144853,  248.1,   1.0,
0560201424, 083194, 101551,    5.1,   4.0,
0560201423, 083194, 101438,    9.9,   2.0,
0560201422, 083194, 101311,   25.4,   2.0,
0560201421, 083194, 101144,   34.5,   4.0,
0560201420, 083194, 101014,   45.0,   4.0,
0560201419, 083194, 100843,   59.8,  10.0,
0560201418, 083194, 100705,   74.4,  23.0,
0560201417, 083194, 100525,   89.9,  61.0,
0560201416, 083194, 100402,  100.2, 108.0,
0560201415, 083194, 100246,  115.0,  90.0,
0560201413, 083194, 100026,  135.7,  43.0,
0560201412, 083194, 095853,  149.6,  34.0,
0560201411, 083194, 095718,  165.6,  24.0,
0560201410, 083194, 095608,  174.8,  25.0,
0560201409, 083194, 095417,  200.1,   8.0,
0570201216, 092494, 080853,    5.7,   3.0,
0570201214, 092494, 080720,   25.5,   3.0,
0570201213, 092494, 080536,   45.7,   4.0,
0570201212, 092494, 080321,   75.6,  14.0,
0570201211, 092494, 080221,   85.3,  18.0,
0570201210, 092494, 080122,   95.3,  31.0,
0570201209, 092494, 080027,  100.5,  37.0,
0570201208, 092494, 075932,  111.7, 139.0,
0570201207, 092494, 075818,  126.1, 116.0,
0570201206, 092494, 075703,  150.9,  54.0,
0570201205, 092494, 075551,  174.6,   7.0,
0580201512, 101694, 111329,    5.0,   3.0,
0580201511, 101694, 111154,   24.5,   4.0,
0580201510, 101694, 111020,   45.6,   5.0,
0580201509, 101694, 110829,   75.5,  16.0,
0580201508, 101694, 110651,  101.2, 113.0,
0580201507, 101694, 110512,  125.8, 111.0,
0580201506, 101694, 110329,  151.7,  41.0,
0580201505, 101694, 110137,  177.8,   6.0,
0590200615, 112094, 104440,    5.6,  10.0,
0590200614, 112094, 104245,   26.1,   9.0,
0590200613, 112094, 104124,   45.9,   9.0,
0590200612, 112094, 103940,   76.1,  11.0,
0590200611, 112094, 103831,   90.1,  16.0,
0590200610, 112094, 103728,   99.4,  50.0,
0590200609, 112094, 103625,  109.9, 103.0,
0590200608, 112094, 103511,  128.6,  86.0,
0590200607, 112094, 103245,  149.4,  56.0,
0590200606, 112094, 103116,  175.9,  15.0,
0610201312, 030595, 114219,    4.8,   2.0,
0610201311, 030595, 114027,   25.4,   3.0,
0610201310, 030595, 113845,   44.8,   6.0,
0610201309, 030595, 113709,   74.5,  77.0,
0610201308, 030595, 113520,  100.8,  75.0,
0610201307, 030595, 113314,  124.3,  39.0,
0610201306, 030595, 113126,  150.6,   6.0,
0610201305, 030595, 112911,  174.0,   3.0,
0620201414, 040795, 100230,   24.5,   2.0,
0620201413, 040795, 100055,   44.4,   3.0,
0620201412, 040795, 095858,   74.2,   9.0,
0620201411, 040795, 095719,  100.6,  28.0,
0620201410, 040795, 095440,  125.8,  70.0,
0620201409, 040795, 095327,  134.3,  52.0,
0620201408, 040795, 095221,  137.5,  68.0,
0620201407, 040795, 095049,  145.4,  70.0,
0620201406, 040795, 094950,  149.5,  61.0,
0620201405, 040795, 094753,  174.6,  33.0,
0630201317, 050895, 091727,    4.9,   2.0,
0630201316, 050895, 091552,   24.8,   3.0,
0630201315, 050895, 091548,   24.5,   3.0,
0630201314, 050895, 091400,   45.2,   4.0,
0630201313, 050895, 091227,   75.0,   5.0,
0630201312, 050895, 091102,   99.4,  13.0,
0630201311, 050895, 091006,  110.0,  18.0,
0630201310, 050895, 090918,  115.2,  23.0,
0630201309, 050895, 090824,  120.1,  30.0,
0630201308, 050895, 090729,  125.0,  73.0,
0630201307, 050895, 090554,  150.6,  48.0,
0630201306, 050895, 090427,  175.7,  17.0,
0640201323, 073195, 120907,    4.1,   2.0,
0640201321, 073195, 120739,   24.6,   2.0,
0640201320, 073195, 120735,   24.6,   2.0,
0640201319, 073195, 120623,   33.9,   3.0,
0640201318, 073195, 120507,   44.2,   5.0,
0640201317, 073195, 120346,   73.8,  15.0,
0640201316, 073195, 120245,   85.2,  34.0,
0640201315, 073195, 120148,   94.8, 129.0,
0640201314, 073195, 120033,  103.9, 128.0,
0640201312, 073195, 115815,  114.0, 110.0,
0640201311, 073195, 115706,  124.3,  84.0,
0640201310, 073195, 115531,  150.6,   7.0,
0640201309, 073195, 115401,  175.1,   3.0,
0650201313, 082995, 102648,    4.7,   3.0,
0650201312, 082995, 102532,   24.8,   3.0,
0650201311, 082995, 102423,   44.1,   3.0,
0650201309, 082995, 102207,   74.4,  28.0,
0650201307, 082995, 101954,   99.3,  97.0,
0650201306, 082995, 101844,  119.2,  99.0,
0650201305, 082995, 101707,  150.2,   8.0,
0650201304, 082995, 101533,  175.7,   3.0,
0660201418, 092895, 100216,    4.9,   3.0,
0660201417, 092895, 100058,   16.0,   3.0,
0660201416, 092895, 100010,   24.8,   1.0,
0660201415, 092895, 095904,   34.9,   2.0,
0660201414, 092895, 095806,   44.2,   4.0,
0660201413, 092895, 095714,   54.7,   5.0,
0660201412, 092895, 095624,   64.5,   6.0,
0660201411, 092895, 095526,   74.6,   9.0,
0660201410, 092895, 095416,   94.1,  61.0,
0660201409, 092895, 095332,   99.3,  85.0,
0660201408, 092895, 095232,  110.7,  95.0,
0660201407, 092895, 095125,  124.9,  39.0,
0660201406, 092895, 095009,  149.7,  10.0,
0660201405, 092895, 094839,  174.3,   4.0,
0670201413, 102895, 055909,    4.9,   1.0,
0670201412, 102895, 055751,   24.5,   3.0,
0670201411, 102895, 055643,   45.0,   4.0,
0670201410, 102895, 055524,   74.6,   5.0,
0670201409, 102895, 055402,   99.7,  14.0,
0670201408, 102895, 055230,  125.6, 113.0,
0670201407, 102895, 055112,  148.6,  79.0,
0670201406, 102895, 054938,  173.7,  23.0,
0670201405, 102895, 054813,  198.6,  21.0,
0670201404, 102895, 054537,  248.6,   0.0,
0680201515, 111895, 090916,    4.0,   6.0,
0680201514, 111895, 090800,   23.6,   6.0,
0680201513, 111895, 090637,   45.7,   6.0,
0680201512, 111895, 090452,   74.3,  16.0,
0680201511, 111895, 090314,   89.4, 133.0,
0680201510, 111895, 090212,  100.0, 119.0,
0680201509, 111895, 090101,  109.3, 120.0,
0680201508, 111895, 085933,  124.2,  80.0,
0680201507, 111895, 085806,  150.7,  32.0,
0680201506, 111895, 085618,  174.2,   5.0,
0690201514, 011896, 075558,    5.3,   3.0,
0690201513, 011896, 075434,   25.3,   2.0,
0690201512, 011896, 075324,   44.2,   4.0,
0690201511, 011896, 075218,   59.9,   5.0,
0690201510, 011896, 075100,   73.6,  12.0,
0690201509, 011896, 075006,   84.1,  20.0,
0690201508, 011896, 074848,   99.8, 107.0,
0690201507, 011896, 074746,  114.6,  91.0,
0690201506, 011896, 074648,  123.8,  63.0,
0690201505, 011896, 074546,  134.1,  17.0,
0690201504, 011896, 074444,  148.1,  20.0,
0690201503, 011896, 074304,  174.3,   3.0,
0700201412, 032896, 075139,    5.0,   4.0,
0700201411, 032896, 075027,   24.7,   7.0,
0700201410, 032896, 074911,   44.8,   5.0,
0700201408, 032896, 074659,   73.6,  10.0,
0700201407, 032896, 074537,   98.6,  26.0,
0700201406, 032896, 074431,  115.0,  74.0,
0700201405, 032896, 074331,  124.8, 130.0,
0700201404, 032896, 074221,  149.2,  61.0,
0700201403, 032896, 074027,  174.5,  11.0,
0710201513, 042596, 134247,    4.1,   5.0,
0710201512, 042596, 134143,   24.8,   6.0,
0710201510, 042596, 133957,   44.0,  10.0,
0710201508, 042596, 133805,   74.2,  29.0,
0710201507, 042596, 133607,   99.4,  55.0,
0710201506, 042596, 133405,  128.8,  65.0,
0710201505, 042596, 133251,  149.2, 124.0,
0710201503, 042596, 132959,  200.5,   6.0,
0720201212, 052396, 122137,   23.7,   5.0,
0720201211, 052396, 122016,   44.6,  21.0,
0720201210, 052396, 121904,   74.0, 100.0,
0720201209, 052396, 121814,   84.7, 143.0,
0720201208, 052396, 121725,   93.1, 203.0,
0720201207, 052396, 121624,  104.0, 200.0,
0720201205, 052396, 121330,  124.4, 163.0,
0720201204, 052396, 121204,  149.4, 102.0,
0720201203, 052396, 121036,  174.9,  32.0,
0730201512, 062796, 100038,    4.7,   6.0,
0730201511, 062796, 095916,   25.0,   5.0,
0730201510, 062796, 095734,   44.5,   7.0,
0730201509, 062796, 095532,   74.6,  24.0,
0730201508, 062796, 095354,   99.6,  49.0,
0730201507, 062796, 095158,  124.7, 119.0,
0730201506, 062796, 095030,  150.1, 159.0,
0730201505, 062796, 094834,  174.9,  57.0,
0740201611, 072896, 132207,    4.1,   6.0,
0740201610, 072896, 132057,   23.8,   6.0,
0740201609, 072896, 131835,   43.5,   7.0,
0740201607, 072896, 131649,   73.5,  22.0,
0740201606, 072896, 131451,   98.9,  48.0,
0740201605, 072896, 131325,  124.5,  85.0,
0740201604, 072896, 131117,  149.7,  57.0,
0740201603, 072896, 131005,  174.2,  29.0,
0750201522, 082296, 134220,    4.5,   4.0,
0750201520, 082296, 134112,   23.9,   6.0,
0750201518, 082296, 134000,   43.5,   8.0,
0750201516, 082296, 133844,   74.6,  21.0,
0750201515, 082296, 133740,   99.1,  92.0,
0750201514, 082296, 133634,  114.8, 235.0,
0750201513, 082296, 133550,  119.5, 284.0,
0750201512, 082296, 133500,  124.4, 255.0,
0750201511, 082296, 133408,  128.8, 216.0,
0750201510, 082296, 133330,  133.9, 217.0,
0750201509, 082296, 133234,  150.4, 106.0,
0750201508, 082296, 133122,  174.4,  73.0,
0760201512, 100396, 095127,    4.4,   7.0,
0760201511, 100396, 095017,   23.9,   6.0,
0760201510, 100396, 094909,   44.9,   9.0,
0760201509, 100396, 094753,   73.8,  32.0,
0760201508, 100396, 094635,   98.5, 125.0,
0760201507, 100396, 094525,  123.5,  50.0,
0760201506, 100396, 094407,  149.6,  15.0,
0760201505, 100396, 094251,  174.3,   7.0,
0770201312, 103196, 095035,    4.9,   7.0,
0770201311, 103196, 094914,   24.1,   6.0,
0770201310, 103196, 094749,   43.7,   7.0,
0770201309, 103196, 094619,   74.5,  21.0,
0770201308, 103196, 094445,  100.3, 131.0,
0770201307, 103196, 094309,  124.4, 143.0,
0770201306, 103196, 094129,  150.5,  47.0,
0770201305, 103196, 093955,  175.0,   8.0,
0780201411, 121296, 090056,    5.2,  14.0,
0780201410, 121296, 085928,   24.8,  16.0,
0780201409, 121296, 085744,   44.2,  15.0,
0780201408, 121296, 085558,   74.2,   9.0,
0780201407, 121296, 085350,  100.3, 168.0,
0780201406, 121296, 085246,  109.9, 192.0,
0780201405, 121296, 085126,  124.1, 102.0,
0780201404, 121296, 084936,  149.5,  43.0,
0780201403, 121296, 084742,  175.4,   9.0,
0790201419, 010997, 082848,    5.3,   8.0,
0790201417, 010997, 082643,   25.1,   8.0,
0790201416, 010997, 082640,   25.2,   7.0,
0790201414, 010997, 082408,   44.4,   7.0,
0790201412, 010997, 082056,   74.8,  73.0,
0790201409, 010997, 081714,   99.9, 147.0,
0790201408, 010997, 081610,  109.6, 150.0,
0790201406, 010997, 081332,  125.1,  78.0,
0790201404, 010997, 081056,  149.9,  38.0,
0790201403, 010997, 080904,  176.3,   5.0,
0800201511, 021997, 101424,    4.5,   8.0,
0800201510, 021997, 101302,   24.5,   8.0,
0800201509, 021997, 101116,   45.1,   7.0,
0800201508, 021997, 100936,   74.2,  15.0,
0800201507, 021997, 100800,  100.0,  55.0,
0800201506, 021997, 100642,  115.0, 105.0,
0800201505, 021997, 100534,  124.4, 122.0,
0800201504, 021997, 100416,  134.8,  34.0,
0800201503, 021997, 100310,  148.9,  22.0,
0800201502, 021997, 100152,  175.5,  15.0,
0810201424, 031397, 071032,    4.7,   7.0,
0810201422, 031397, 070802,   24.7,  10.0,
0810201420, 031397, 070516,   44.6,  11.0,
0810201418, 031397, 070226,   75.0,  17.0,
0810201417, 031397, 070122,   79.9,  19.0,
0810201415, 031397, 065804,  114.4, 151.0,
0810201413, 031397, 065702,  119.0, 187.0,
0810201412, 031397, 065608,  124.3, 168.0,
0810201410, 031397, 065322,  149.5,  87.0,
0810201409, 031397, 065146,  175.2,  40.0,
0820201417, 041097, 070009,    5.4,   3.0,
0820201415, 041097, 065741,   25.7,   5.0,
0820201414, 041097, 065740,   25.6,   5.0,
0820201412, 041097, 065531,   46.5,   7.0,
0820201410, 041097, 065239,   75.3,  32.0,
0820201408, 041097, 065007,   99.2, 144.0,
0820201406, 041097, 064747,  124.5, 129.0,
0820201404, 041097, 064517,  150.3,  63.0,
0820201403, 041097, 064345,  176.2,   6.0,
0830201424, 050897, 071009,    5.8,   6.0,
0830201420, 050897, 070651,   45.1,   9.0,
0830201418, 050897, 070509,   73.8,  22.0,
0830201416, 050897, 070335,  100.0,  54.0,
0830201410, 050897, 070041,  129.5, 147.0,
0830201408, 050897, 065827,  149.4, 121.0,
0830201407, 050897, 065713,  174.9,  29.0,
0840201424, 060597, 070148,    4.8,   4.0,
0840201422, 060597, 065954,   25.0,   6.0,
0840201421, 060597, 065936,   24.8,   5.0,
0840201419, 060597, 065624,   44.9,   8.0,
0840201417, 060597, 065520,   74.4,  11.0,
0840201414, 060597, 065254,  100.1,  41.0,
0840201412, 060597, 065038,  124.2, 184.0,
0840201405, 060597, 064748,  140.4, 157.0,
0840201404, 060597, 064648,  149.9,  62.0,
0840201403, 060597, 064520,  175.0,   4.0,
0850201423, 071097, 070906,    3.8,   7.0,
0850201421, 071097, 070540,   24.7,   6.0,
0850201420, 071097, 070526,   24.7,   7.0,
0850201418, 071097, 070222,   44.8,   8.0,
0850201416, 071097, 065944,   74.3,  12.0,
0850201414, 071097, 065702,  101.1,  40.0,
0850201412, 071097, 065420,  124.4, 197.0,
0850201406, 071097, 065102,  139.4, 181.0,
0850201405, 071097, 064948,  149.4, 143.0,
0850201404, 071097, 064808,  173.8,  56.0,
0860201022, 080397, 080348,    4.8,   5.0,
0860201019, 080397, 080100,   23.3,   5.0,
0860201018, 080397, 080048,   23.4,   5.0,
0860201016, 080397, 075616,   45.0,   5.0,
0860201014, 080397, 075354,   74.7,  15.0,
0860201012, 080397, 075119,   99.5,  36.0,
0860201011, 080397, 074938,  120.6, 185.0,
0860201005, 080397, 074746,  123.8, 170.0,
0860201004, 080397, 074620,  149.4,  62.0,
0860201003, 080397, 074428,  173.8,  18.0,
0870200321, 092597, 120402,    5.1,   6.0,
0870200318, 092597, 120140,   24.6,   7.0,
0870200317, 092597, 120128,   24.6,   7.0,
0870200315, 092597, 115938,   44.3,   6.0,
0870200313, 092597, 115730,   74.8,  16.0,
0870200310, 092597, 115504,   98.9,  28.0,
0870200308, 092597, 115312,  125.0, 190.0,
0870200307, 092597, 115216,  135.0, 190.0,
0870200305, 092597, 115028,  149.7, 116.0,
0870200303, 092597, 114812,  174.1,  43.0,
0880200316, 120597, 075422,    4.2,  24.0,
0880200315, 120597, 075256,   24.4,  26.0,
0880200314, 120597, 075138,   45.2,  25.0,
0880200312, 120597, 074926,   74.4,  26.0,
0880200311, 120597, 074810,   99.1,  26.0,
0880200310, 120597, 074650,  124.6, 186.0,
0880200309, 120597, 074534,  149.6, 109.0,
0880200308, 120597, 074412,  174.5,  53.0,
0890201414, 011298, 065527,    4.4,  12.0,
0890201413, 011298, 065401,   23.6,  12.0,
0890201412, 011298, 065351,   23.5,  12.0,
0890201411, 011298, 065221,   44.3,  38.0,
0890201410, 011298, 065107,   59.8,  40.0,
0890201409, 011298, 064945,   74.9,  37.0,
0890201408, 011298, 064837,   88.3,  51.0,
0890201407, 011298, 064731,  100.3,  60.0,
0890201405, 011298, 064605,  119.2, 126.0,
0890201404, 011298, 064445,  147.5,  76.0,
0890201403, 011298, 064301,  175.7,  17.0,
0900201419, 022098, 085901,    4.3,   9.0,
0900201417, 022098, 085633,   24.8,  11.0,
