botid, date, time, press, dic, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0440200410, 012093, 064754,  160.5,  2025.7,
0440200408, 012093, 064544,  198.1,  2032.3,
0440200505, 012093, 095707,   95.3,  1974.0,
0440200502, 012093, 095354,  130.4,  1978.8,
0450200621, 021793, 071005,    5.1,  1957.0,
0450200618, 021793, 070703,   24.3,  1964.6,
0450200617, 021793, 070557,   35.5,  1974.7,
0450200616, 021793, 070450,   45.4,  1975.0,
0450200615, 021793, 070319,   58.7,  1980.6,
0450200614, 021793, 070157,   74.3,  1984.8,
0450200612, 021793, 065942,   94.6,  1999.7,
0450200610, 021793, 065657,  114.5,  2021.8,
0450200609, 021793, 065354,  124.5,  2030.2,
0450200607, 021793, 065048,  151.5,  2039.6,
0450200605, 021793, 064800,  175.4,  2041.0,
0460200320, 041493, 071013,   26.0,  1976.7,
0460200318, 041493, 070831,   44.4,  1976.1,
0460200317, 041493, 070738,   60.2,  1977.8,
0460200316, 041493, 070643,   75.5,  1982.4,
0460200314, 041493, 070452,   95.9,  1980.6,
0460200311, 041493, 070154,  125.0,  1997.8,
0460200309, 041493, 065937,  150.4,  2005.6,
0460200307, 041493, 065652,  176.2,  2011.8,
0460200305, 041493, 065418,  196.2,  2026.7,
0470200923, 052193, 020700,    6.6,  1975.6,
0470200921, 052193, 020414,   24.5,  1974.9,
0470200919, 052193, 020232,   34.9,  1975.2,
0470200918, 052193, 020124,   45.0,  1975.5,
0470200917, 052193, 015956,   55.1,  1979.6,
0470200916, 052193, 015822,   74.7,  1979.0,
0470200914, 052193, 015611,   95.3,  1982.2,
0470200912, 052193, 015321,  116.4,  1986.0,
0470200909, 052193, 014941,  150.1,  2008.4,
0490200723, 091493, 063900,    5.4,  1981.2,
0490200722, 091493, 063652,   15.6,  1981.9,
0490200721, 091493, 063459,   25.6,  1982.6,
0490200719, 091493, 063103,   46.6,  1988.5,
0490200716, 091493, 062523,   76.2,  1995.4,
0490200714, 091493, 062137,   96.4,  2008.7,
0490200710, 091493, 061437,  125.6,  2021.8,
0490200707, 091493, 060857,  154.2,  2033.5,
0490200705, 091493, 060454,  177.7,  2038.0,
0500200623, 102993, 074530,    7.1,  1970.0,
0500200622, 102993, 074421,   17.2,  1970.4,
0500200620, 102993, 074255,   27.1,  1975.0,
0500200619, 102993, 074117,   37.3,  1977.3,
0500200618, 102993, 074000,   48.4,  1980.6,
0500200617, 102993, 073831,   58.5,  1985.6,
0500200616, 102993, 073558,   80.3,  1994.6,
0500200615, 102993, 073442,   78.9,  1993.9,
0500200614, 102993, 073318,   93.4,  1999.5,
0500200613, 102993, 073200,  105.2,  2013.8,
0500200612, 102993, 073009,  117.8,  2016.2,
0500200610, 102993, 072754,  125.0,  2020.2,
0500200608, 102993, 072512,  138.4,  2032.2,
0500200607, 102993, 072336,  148.9,  2038.8,
0500200606, 102993, 072201,  163.4,  2041.5,
0500200605, 102993, 072023,  176.8,  2044.0,
0500200604, 102993, 071824,  182.6,  2045.0,
0500200603, 102993, 071650,  197.4,  2046.6,
0510200422, 012094, 091215,    7.5,  1979.3,
0510200421, 012094, 091156,   17.1,  1980.6,
0510200419, 012094, 090954,   27.3,  1979.8,
0510200418, 012094, 090940,   36.7,  1979.0,
0510200415, 012094, 090613,   76.6,  1980.8,
0510200414, 012094, 090504,   85.8,  1975.8,
0510200413, 012094, 090409,   96.1,  1988.0,
0510200412, 012094, 090312,  106.4,  1990.3,
0510200411, 012094, 090218,  114.6,  1992.2,
0510200410, 012094, 090118,  125.7,  2011.6,
0510200409, 012094, 090023,  136.4,  2023.9,
0510200408, 012094, 085920,  153.1,  2028.4,
0510200407, 012094, 085751,  163.9,  2027.8,
0510200406, 012094, 085648,  168.8,  2029.5,
