botid, date, time, press, doc, 
#, mmddyy, hhmmss, dbar, umol/kg, 
1340200618, 011602, 065559,    4.1,  79.61,
1340200617, 011602, 065444,   14.5,  80.08,
1340200615, 011602, 065319,   24.6,  76.96,
1340200614, 011602, 065201,   33.8,  78.12,
1340200613, 011602, 065046,   44.2,  77.28,
1340200612, 011602, 064928,   58.3,  77.65,
1340200611, 011602, 064754,   75.3,  79.42,
1340200609, 011602, 064519,   97.9,  79.60,
1340200607, 011602, 064246,  124.2,  74.34,
1340200606, 011602, 064109,  149.0,  72.90,
1340200604, 011602, 063844,  174.7,  68.38,
1340200603, 011602, 063714,  198.1,  66.60,
1350200618, 022102, 065650,    4.3,  78.82,
1350200617, 022102, 065555,   14.2,  70.23,
1350200615, 022102, 065450,   25.5,  72.65,
1350200614, 022102, 065350,   34.3,  73.62,
1350200613, 022102, 065300,   44.1,  76.49,
1350200612, 022102, 065150,   58.6,  70.33,
1350200611, 022102, 065035,   73.5,  70.36,
1350200609, 022102, 064820,   98.7,  62.55,
1350200607, 022102, 064550,  123.7,  57.76,
1350200606, 022102, 064425,  152.3,  57.76,
1350200604, 022102, 064150,  172.6,  54.06,
1360200718, 031302, 065414,    4.2,  72.85,
1360200715, 031302, 065144,   24.8,  77.60,
1360200714, 031302, 065045,   34.8,  72.16,
1360200713, 031302, 064935,   44.1,  72.41,
1360200712, 031302, 064829,   58.7,  73.91,
1360200711, 031302, 064733,   74.5,  75.52,
1360200709, 031302, 064518,   99.9,  70.83,
1360200707, 031302, 064305,  125.0,  65.89,
1360200706, 031302, 064147,  148.5,  60.54,
1360200704, 031302, 063948,  175.2,  59.23,
1370200618, 052102, 065251,    4.6,  72.56,
1370200617, 052102, 065151,   14.2,  75.20,
1370200615, 052102, 065050,   24.3,  75.39,
1370200614, 052102, 065000,   34.1,  78.68,
1370200613, 052102, 064900,   44.6,  71.44,
1370200612, 052102, 064806,   59.0,  69.84,
1370200611, 052102, 064716,   74.4,  71.74,
1370200609, 052102, 064535,   99.6,  69.87,
1370200607, 052102, 064345,  123.6,  65.53,
1370200606, 052102, 064236,  150.4,  63.90,
1370200604, 052102, 064040,  174.9,  56.10,
1380200518, 063002, 015712,    4.0,  73.09,
1380200517, 063002, 015612,   13.8,  71.64,
1380200515, 063002, 015502,   24.2,  72.58,
1380200514, 063002, 015402,   34.4,  71.39,
1380200513, 063002, 015302,   44.3,  73.70,
1380200512, 063002, 015152,   59.3,  70.39,
1380200511, 063002, 015042,   74.6,  68.68,
1380200509, 063002, 014827,  100.3,  66.85,
1380200507, 063002, 014617,  124.2,  61.65,
1380200506, 063002, 014501,  148.7,  57.44,
