botid, date, time, press, don, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0440200312, 012093, 044825,  275.4,   4.11,
0440200311, 012093, 044234,  299.5,   3.92,
0440200310, 012093, 044112,  323.6,   3.37,
0440200309, 012093, 043958,  349.0,   3.50,
0440200308, 012093, 043835,  393.8,   3.39,
0440200307, 012093, 043648,  498.9,   3.18,
0440200306, 012093, 043351,  603.6,   3.07,
0440200305, 012093, 043054,  707.2,   2.44,
0440200304, 012093, 042735,  797.1,   2.16,
0440200303, 012093, 042419,  898.2,   2.39,
0440200302, 012093, 042054, 1023.1,   2.20,
0440200412, 012093, 065339,  135.1,   5.60,
0440200411, 012093, 064858,  149.7,   4.55,
0440200410, 012093, 064754,  160.5,   4.97,
0440200408, 012093, 064544,  198.1,   4.56,
0440200406, 012093, 064323,  209.9,   3.95,
0440200405, 012093, 064224,  226.2,   3.73,
0440200404, 012093, 064110,  233.5,   3.92,
0440200403, 012093, 064006,  249.3,   4.03,
0440200402, 012093, 063850, 1028.8,   2.76,
0440200512, 012093, 100604,    9.1,   5.19,
0440200511, 012093, 100428,   24.7,   5.06,
0440200510, 012093, 100321,   35.6,   5.66,
0440200509, 012093, 100211,   45.3,   5.31,
0440200507, 012093, 095907,   75.5,   5.36,
0440200506, 012093, 095814,   86.1,   5.62,
0440200505, 012093, 095707,   95.3,   5.49,
0440200504, 012093, 095551,  104.0,   5.81,
0440200502, 012093, 095354,  130.4,   5.80,
0450200515, 021793, 044412,  224.3,   3.14,
0450200514, 021793, 043957,  234.5,   3.16,
0450200513, 021793, 043847,  249.5,   3.27,
0450200512, 021793, 043733,  274.9,   3.38,
0450200511, 021793, 043613,  299.7,   3.67,
0450200510, 021793, 043406,  326.5,   3.84,
0450200509, 021793, 043215,  351.3,   3.91,
0450200508, 021793, 043027,  400.6,   3.21,
0450200507, 021793, 042752,  501.8,   2.95,
0450200506, 021793, 042612,  527.3,   2.77,
0450200505, 021793, 042340,  598.0,   2.08,
0450200504, 021793, 042044,  700.9,   1.86,
0450200503, 021793, 041753,  801.3,   1.85,
0450200502, 021793, 041506,  901.5,   1.77,
0450200501, 021793, 041057, 1022.5,   1.81,
0450200621, 021793, 071005,    5.1,   4.82,
0450200618, 021793, 070703,   24.3,   4.83,
0450200617, 021793, 070557,   35.5,   5.80,
0450200616, 021793, 070450,   45.4,   5.34,
0450200615, 021793, 070319,   58.7,   5.31,
0450200614, 021793, 070157,   74.3,   5.33,
0450200613, 021793, 070040,   84.6,   5.49,
0450200612, 021793, 065942,   94.6,   5.03,
0450200611, 021793, 065829,  104.7,   4.95,
0450200610, 021793, 065657,  114.5,   5.03,
0450200609, 021793, 065354,  124.5,   4.83,
0450200608, 021793, 065233,  137.0,   5.21,
0450200607, 021793, 065048,  151.5,   4.24,
0450200605, 021793, 064800,  175.4,   4.44,
0450200603, 021793, 064439,  203.8,   3.77,
0460200323, 041493, 071322,    3.8,   6.35,
0460200322, 041493, 071130,   15.0,   6.48,
0460200320, 041493, 071013,   26.0,   5.78,
0460200319, 041493, 070922,   34.9,   5.92,
0460200318, 041493, 070831,   44.4,   5.63,
0460200317, 041493, 070738,   60.2,   6.01,
0460200316, 041493, 070643,   75.5,   6.00,
0460200315, 041493, 070547,   85.4,   5.45,
0460200314, 041493, 070452,   95.9,   5.01,
0460200313, 041493, 070356,  104.9,   4.81,
0460200312, 041493, 070245,  115.0,   4.48,
0460200311, 041493, 070154,  125.0,   5.23,
0460200310, 041493, 070057,  134.9,   4.91,
0460200309, 041493, 065937,  150.4,   5.37,
0460200307, 041493, 065652,  176.2,   4.98,
0460200305, 041493, 065418,  196.2,   4.66,
0460200304, 041493, 065302,  208.9,   4.86,
0460200303, 041493, 065124,  223.4,   4.75,
0460200302, 041493, 064344,  501.2,   2.13,
0460200301, 041493, 062728, 1028.3,   1.63,
0460200417, 041493, 103826,  104.2,   5.22,
0460200416, 041493, 103653,  148.1,   5.10,
0460200415, 041493, 103520,  179.0,   5.27,
0460200414, 041493, 103343,  224.9,   4.68,
0460200413, 041493, 103237,  234.8,   4.24,
0460200412, 041493, 103133,  248.6,   4.24,
0460200411, 041493, 103026,  273.4,   4.09,
0460200410, 041493, 102907,  298.4,   3.72,
0460200409, 041493, 102743,  324.8,   3.77,
0460200408, 041493, 102612,  350.9,   3.37,
0460200407, 041493, 102343,  396.1,   3.43,
0460200406, 041493, 102051,  498.3,   2.24,
0460200405, 041493, 101757,  597.4,   2.07,
0460200404, 041493, 101454,  697.4,   1.62,
0460200403, 041493, 101134,  797.4,   1.59,
0460200402, 041493, 100750,  900.6,   2.11,
0460200401, 041493, 100246, 1023.2,   1.52,
0470200815, 052093, 231610,  226.5,   4.56,
0470200814, 052093, 231405,  235.6,   4.17,
0470200813, 052093, 231227,  250.9,   3.81,
0470200812, 052093, 231038,  277.6,   3.91,
0470200811, 052093, 230837,  301.0,   4.14,
0470200810, 052093, 230656,  324.6,   4.43,
0470200809, 052093, 230453,  351.9,   3.84,
0470200808, 052093, 230206,  408.9,   3.82,
0470200807, 052093, 225900,  501.9,   3.49,
0470200805, 052093, 225247,  604.9,   2.37,
0470200804, 052093, 224941,  695.1,   2.86,
0470200803, 052093, 224630,  798.9,   1.60,
0470200802, 052093, 224306,  909.9,   2.00,
0470200801, 052093, 223938, 1034.3,   2.20,
0470200924, 052193, 020723,    6.5,   5.69,
0470200922, 052193, 020536,   14.8,   6.38,
0470200920, 052193, 020352,   24.5,   6.95,
0470200919, 052193, 020232,   34.9,   7.13,
0470200918, 052193, 020124,   45.0,   6.46,
0470200917, 052193, 015956,   55.1,   6.70,
0470200916, 052193, 015822,   74.7,   6.05,
0470200915, 052193, 015715,   85.0,   6.32,
0470200914, 052193, 015611,   95.3,   5.65,
0470200913, 052193, 015432,  106.3,   7.14,
0470200912, 052193, 015321,  116.4,   6.34,
0470200911, 052193, 015212,  124.5,   5.73,
0470200910, 052193, 015057,  134.8,   5.95,
0470200909, 052193, 014941,  150.1,   5.38,
0470200907, 052193, 014625,  176.4,   4.78,
0470200905, 052193, 014339,  203.8,   5.45,
0470200903, 052193, 014035,  246.8,   4.74,
0470200902, 052193, 013416,  566.9,   3.14,
0470200901, 052193, 012529, 1021.2,   2.08,
0490200617, 091493, 034624,  210.5,   3.83,
0490200616, 091493, 034512,  226.5,   3.98,
0490200615, 091493, 034352,  235.6,   3.43,
0490200613, 091493, 034216,  250.2,   3.70,
0490200612, 091493, 034103,  275.9,   3.79,
0490200611, 091493, 033950,  300.9,   3.66,
0490200609, 091493, 033714,  351.2,   3.55,
0490200608, 091493, 033520,  399.7,   3.06,
0490200607, 091493, 033243,  491.0,   2.94,
0490200606, 091493, 032954,  600.6,   2.58,
0490200605, 091493, 032721,  701.5,   2.33,
0490200604, 091493, 032419,  802.5,   1.92,
0490200603, 091493, 032124,  903.0,   1.80,
0490200601, 091493, 031712, 1044.3,   1.74,
0490200723, 091493, 063900,    5.4,   5.83,
0490200722, 091493, 063652,   15.6,   6.15,
0490200721, 091493, 063459,   25.6,   5.98,
0490200720, 091493, 063257,   36.7,   6.21,
0490200719, 091493, 063103,   46.6,   6.11,
0490200717, 091493, 062724,   61.4,   6.15,
0490200716, 091493, 062523,   76.2,   5.81,
0490200715, 091493, 062336,   86.5,   5.80,
0490200714, 091493, 062137,   96.4,   5.61,
0490200713, 091493, 061950,  105.9,   5.31,
0490200712, 091493, 061805,  116.2,   5.17,
0490200710, 091493, 061437,  125.6,   4.95,
0490200708, 091493, 061111,  136.3,   5.08,
0490200707, 091493, 060857,  154.2,   4.47,
0490200705, 091493, 060454,  177.7,   4.12,
0490200703, 091493, 060051,  200.9,   3.83,
0500200514, 102993, 045305,  221.2,   3.13,
0500200513, 102993, 045139,  238.3,   3.37,
0500200512, 102993, 045020,  251.2,   2.99,
0500200511, 102993, 044855,  275.0,   3.31,
0500200510, 102993, 044706,  300.4,   3.45,
0500200509, 102993, 044549,  324.1,   3.56,
0500200508, 102993, 044429,  349.8,   3.32,
0500200507, 102993, 044244,  403.8,   3.44,
0500200506, 102993, 043928,  504.5,   2.65,
0500200505, 102993, 043610,  606.4,   2.59,
0500200504, 102993, 043156,  704.3,   2.21,
0500200503, 102993, 042827,  806.5,   1.90,
0500200502, 102993, 042500,  901.3,   2.11,
0500200501, 102993, 042038, 1023.0,   1.95,
0500200623, 102993, 074530,    7.1,   5.01,
0500200622, 102993, 074421,   17.2,   5.66,
0500200620, 102993, 074255,   27.1,   6.45,
0500200619, 102993, 074117,   37.3,   5.51,
0500200618, 102993, 074000,   48.4,   5.73,
0500200617, 102993, 073831,   58.5,   6.21,
0500200616, 102993, 073558,   80.3,   5.39,
0500200615, 102993, 073442,   78.9,   5.87,
0500200614, 102993, 073318,   93.4,   5.21,
0500200613, 102993, 073200,  105.2,   5.01,
0500200612, 102993, 073009,  117.8,   5.75,
0500200610, 102993, 072754,  125.0,   4.99,
0500200608, 102993, 072512,  138.4,   4.79,
0500200607, 102993, 072336,  148.9,   4.48,
0500200605, 102993, 072023,  176.8,   3.71,
0500200603, 102993, 071650,  197.4,   3.56,
0510200314, 012094, 055843,  226.1,   3.21,
0510200313, 012094, 055742,  234.2,   3.74,
0510200312, 012094, 055631,  251.6,   3.23,
0510200311, 012094, 055502,  278.0,   2.99,
0510200310, 012094, 055357,  303.9,   3.80,
0510200309, 012094, 055226,  321.9,   3.05,
0510200308, 012094, 055036,  349.4,   3.15,
0510200307, 012094, 054852,  400.1,   2.85,
0510200306, 012094, 054607,  501.2,   2.48,
0510200305, 012094, 054328,  599.1,   1.56,
0510200304, 012094, 054038,  699.0,   1.47,
0510200303, 012094, 053727,  800.8,   1.44,
0510200302, 012094, 053451,  900.4,   1.33,
0510200301, 012094, 053132, 1020.9,   1.08,
0510200422, 012094, 091215,    7.5,   5.04,
0510200421, 012094, 091156,   17.1,   5.36,
0510200419, 012094, 090954,   27.3,   5.79,
0510200418, 012094, 090940,   36.7,   5.38,
0510200416, 012094, 090726,   62.9,   5.82,
0510200415, 012094, 090613,   76.6,   5.87,
0510200414, 012094, 090504,   85.8,   5.23,
0510200413, 012094, 090409,   96.1,   5.62,
0510200412, 012094, 090312,  106.4,   5.29,
0510200411, 012094, 090218,  114.6,   5.19,
0510200410, 012094, 090118,  125.7,   4.98,
0510200409, 012094, 090023,  136.4,   5.00,
0510200408, 012094, 085920,  153.1,   4.70,
0510200406, 012094, 085648,  168.8,   4.13,
0510200404, 012094, 085218,  204.6,   3.58,
0520200418, 021794, 040115,  174.9,   4.71,
0520200416, 021794, 035901,  199.0,   3.60,
0520200414, 021794, 035650,  226.2,   3.60,
0520200413, 021794, 035548,  236.1,   4.46,
0520200412, 021794, 035411,  252.1,   3.77,
0520200411, 021794, 035245,  276.1,   4.00,
0520200410, 021794, 035008,  301.7,   3.85,
0520200409, 021794, 034841,  323.2,   3.42,
