botid, date, time, press, dop, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0440200412, 012093, 065339,  135.1,   0.19,
0440200411, 012093, 064858,  149.7,   0.21,
0440200410, 012093, 064754,  160.5,   0.23,
0440200408, 012093, 064544,  198.1,   0.18,
0440200512, 012093, 100604,    9.1,   0.21,
0440200511, 012093, 100428,   24.7,   0.18,
0440200510, 012093, 100321,   35.6,   0.22,
0440200509, 012093, 100211,   45.3,   0.29,
0440200507, 012093, 095907,   75.5,   0.23,
0440200506, 012093, 095814,   86.1,   0.24,
0440200505, 012093, 095707,   95.3,   0.26,
0440200504, 012093, 095551,  104.0,   0.23,
0440200502, 012093, 095354,  130.4,   0.21,
0450200621, 021793, 071005,    5.1,   0.18,
0450200618, 021793, 070703,   24.3,   0.17,
0450200617, 021793, 070557,   35.5,   0.21,
0450200616, 021793, 070450,   45.4,   0.19,
0450200615, 021793, 070319,   58.7,   0.19,
0450200614, 021793, 070157,   74.3,   0.21,
0450200613, 021793, 070040,   84.6,   0.19,
0450200612, 021793, 065942,   94.6,   0.19,
0450200611, 021793, 065829,  104.7,   0.15,
0450200610, 021793, 065657,  114.5,   0.13,
0450200609, 021793, 065354,  124.5,   0.18,
0450200608, 021793, 065233,  137.0,   0.21,
0450200607, 021793, 065048,  151.5,   0.13,
0450200605, 021793, 064800,  175.4,   0.10,
0450200603, 021793, 064439,  203.8,   0.08,
0460200323, 041493, 071322,    3.8,   0.23,
0460200322, 041493, 071130,   15.0,   0.23,
0460200320, 041493, 071013,   26.0,   0.21,
0460200319, 041493, 070922,   34.9,   0.34,
0460200318, 041493, 070831,   44.4,   0.20,
0460200317, 041493, 070738,   60.2,   0.21,
0460200316, 041493, 070643,   75.5,   0.18,
0460200315, 041493, 070547,   85.4,   0.17,
0460200314, 041493, 070452,   95.9,   0.15,
0460200313, 041493, 070356,  104.9,   0.14,
0460200312, 041493, 070245,  115.0,   0.14,
0460200311, 041493, 070154,  125.0,   0.15,
0460200310, 041493, 070057,  134.9,   0.15,
0460200309, 041493, 065937,  150.4,   0.16,
0460200307, 041493, 065652,  176.2,   0.30,
0460200305, 041493, 065418,  196.2,   0.11,
0460200417, 041493, 103826,  104.2,   0.20,
0460200416, 041493, 103653,  148.1,   0.18,
0460200415, 041493, 103520,  179.0,   0.19,
0470200924, 052193, 020723,    6.5,   0.32,
0470200922, 052193, 020536,   14.8,   0.25,
0470200920, 052193, 020352,   24.5,   0.31,
0470200919, 052193, 020232,   34.9,   0.26,
0470200918, 052193, 020124,   45.0,   0.31,
0470200917, 052193, 015956,   55.1,   0.27,
0470200916, 052193, 015822,   74.7,   0.22,
0470200915, 052193, 015715,   85.0,   0.21,
0470200914, 052193, 015611,   95.3,   0.21,
0470200913, 052193, 015432,  106.3,   0.30,
0470200912, 052193, 015321,  116.4,   0.19,
0470200911, 052193, 015212,  124.5,   0.24,
0470200910, 052193, 015057,  134.8,   0.21,
0470200909, 052193, 014941,  150.1,   0.17,
0470200907, 052193, 014625,  176.4,   0.14,
0470200905, 052193, 014339,  203.8,   0.21,
0490200723, 091493, 063900,    5.4,   0.21,
0490200722, 091493, 063652,   15.6,   0.23,
0490200721, 091493, 063459,   25.6,   0.25,
0490200720, 091493, 063257,   36.7,   0.22,
0490200719, 091493, 063103,   46.6,   0.22,
0490200717, 091493, 062724,   61.4,   0.23,
0490200716, 091493, 062523,   76.2,   0.21,
0490200715, 091493, 062336,   86.5,   0.20,
0490200714, 091493, 062137,   96.4,   0.19,
0490200713, 091493, 061950,  105.9,   0.17,
0490200712, 091493, 061805,  116.2,   0.17,
0490200710, 091493, 061437,  125.6,   0.16,
0490200708, 091493, 061111,  136.3,   0.16,
0490200707, 091493, 060857,  154.2,   0.13,
0490200705, 091493, 060454,  177.7,   0.12,
0490200703, 091493, 060051,  200.9,   0.08,
0500200623, 102993, 074530,    7.1,   0.20,
0500200622, 102993, 074421,   17.2,   0.21,
0500200620, 102993, 074255,   27.1,   0.21,
0500200619, 102993, 074117,   37.3,   0.21,
0500200618, 102993, 074000,   48.4,   0.21,
0500200617, 102993, 073831,   58.5,   0.23,
0500200616, 102993, 073558,   80.3,   0.26,
0500200615, 102993, 073442,   78.9,   0.21,
0500200614, 102993, 073318,   93.4,   0.20,
0500200613, 102993, 073200,  105.2,   0.18,
0500200612, 102993, 073009,  117.8,   0.17,
0500200610, 102993, 072754,  125.0,   0.19,
0500200608, 102993, 072512,  138.4,   0.14,
0500200607, 102993, 072336,  148.9,   0.16,
0500200605, 102993, 072023,  176.8,   0.13,
0500200603, 102993, 071650,  197.4,   0.12,
