botid, date, time, press, hbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
0440201312, 012193, 114728,    5.2,  2.625,
0440201311, 012193, 114612,   24.7,  3.184,
0440201310, 012193, 114512,   43.4,  2.572,
0440201309, 012193, 114355,   74.6,  2.775,
0440201308, 012193, 114258,   90.0,  3.124,
0440201306, 012193, 114106,  113.4,  2.181,
0440201305, 012193, 114002,  124.5,  2.033,
0440201304, 012193, 113843,  150.9,  1.909,
0440201303, 012193, 113719,  176.5,  1.409,
0450201521, -00009, -00009,    5.8,  3.828,
0450201520, -00009, -00009,   26.1,  3.619,
0450201519, -00009, -00009,   46.0,  4.040,
0450201518, -00009, -00009,   64.9,  5.210,
0450201517, -00009, -00009,   71.0,  3.920,
0450201516, 021893, 094807,   75.5,  3.890,
0450201515, 021893, 094627,   85.2,  4.238,
0450201514, 021893, 094501,   95.2,  5.020,
0450201513, 021893, 094357,  105.2,  5.080,
0450201512, 021893, 094300,  125.2,  3.446,
0450201511, 021893, 094205,  150.9,  5.717,
0450201510, 021893, 094111,  176.6,  2.561,
0460200924, 041593, 074146,    5.8,  4.794,
0460200923, 041593, 073917,   23.7,  4.712,
0460200922, 041593, 073706,   43.8,  4.848,
0460200921, 041593, 073446,   74.2,  4.068,
0460200920, 041593, 073259,   89.6,  4.166,
0460200919, 041593, 073056,  100.2,  4.203,
0460200918, 041593, 072907,  103.7,  4.005,
0460200917, 041593, 072714,  109.2,  3.991,
0460200911, 041593, 071518,  119.5,  4.132,
0460200909, 041593, 071047,  135.1,  4.652,
0460200908, 041593, 070838,  149.8,  3.836,
0460200903, 041593, 065936,  173.1,  2.809,
0470200323, 052093, 075043,   24.5,  6.011,
0470200322, 052093, 074926,   45.1,  7.098,
0470200321, 052093, 074754,   75.7,  7.158,
0470200320, 052093, 074629,  100.7,  7.087,
0470200319, 052093, 074528,  109.4,  6.118,
0470200318, 052093, 074420,  119.2,  4.993,
0470200317, 052093, 074250,  128.8,  5.911,
0470200316, 052093, 074152,  135.1,  5.584,
0470200310, 052093, 073817,  144.1,  4.809,
0470200309, 052093, 073646,  160.8,  4.628,
0470200308, 052093, 073515,  174.7,  5.266,
0490201723, 091593, 100623,    5.2,  2.058,
0490201721, 091593, 100432,   25.1,  1.926,
0490201719, 091593, 100239,   46.2,  2.528,
0490201716, 091593, 095929,   76.0,  2.497,
0490201714, 091593, 095653,  100.7,  1.902,
0490201713, 091593, 095515,  115.9,  2.519,
0490201712, 091593, 095338,  120.7,  2.335,
0490201711, 091593, 095228,  125.9,  1.932,
0490201710, 091593, 095104,  130.1,  2.424,
0490201709, 091593, 094929,  139.9,  2.395,
0490201708, 091593, 094803,  149.8,  2.345,
0490201706, 091593, 094559,  175.6,  2.553,
0500201419, 103093, 092427,    5.7,  6.325,
0500201418, 103093, 092246,   25.8,  4.429,
0500201417, 103093, 092106,   47.4,  4.004,
0500201415, 103093, 091825,   74.4,  3.973,
0500201414, 103093, 091652,   90.0,  3.321,
0500201413, 103093, 091531,  100.4,  2.993,
0500201411, 103093, 091254,  115.6,  2.845,
0500201410, 103093, 091128,  119.7,  2.555,
0500201409, 103093, 091009,  125.6,  2.305,
0500201408, 103093, 090837,  137.1,  1.779,
0500201407, 103093, 090700,  151.7,  1.497,
0500201406, 103093, 090507,  175.1,  1.374,
0510201317, 012194, 134205,    7.1,  3.175,
0510201315, 012194, 134004,   27.0,  3.310,
0510201314, 012194, 133847,   46.3,  3.512,
0510201312, 012194, 133607,   75.0,  3.386,
0510201311, 012194, 133448,   89.6,  3.393,
0510201310, 012194, 133335,  100.1,  3.325,
0510201309, 012194, 133208,  116.0,  3.150,
0510201308, 012194, 133058,  126.1,  2.867,
0510201307, 012194, 132951,  135.3,  2.367,
0510201306, 012194, 132820,  148.8,  2.010,
0510201305, 012194, 132635,  173.7,  1.480,
0520201316, 021894, 084037,    6.3,  4.777,
0520201315, 021894, 083907,   25.8,  4.811,
0520201314, 021894, 083738,   44.2,  4.772,
0520201313, 021894, 083603,   60.5,  4.759,
0520201312, 021894, 083438,   77.5,  5.035,
0520201311, 021894, 083342,   86.1,  5.529,
0520201310, 021894, 083222,  102.1,  5.126,
0520201309, 021894, 083058,  126.4,  5.108,
0520201308, 021894, 082956,  135.6,  5.100,
0520201307, 021894, 082843,  149.8,  4.755,
0520201306, 021894, 082712,  174.0,  4.126,
0520201305, 021894, 082526,  191.9,  2.442,
0530201516, 031094, 085819,    4.5,  5.301,
0530201515, 031094, 085707,   24.4,  5.777,
0530201514, 031094, 085604,   44.5,  5.624,
0530201513, 031094, 085457,   74.7,  5.379,
0530201512, 031094, 085345,   99.4,  4.797,
0530201511, 031094, 085213,  124.6,  4.754,
0530201510, 031094, 085103,  141.0,  4.342,
0530201509, 031094, 085009,  145.1,  4.323,
0530201508, 031094, 084919,  150.0,  3.439,
0530201507, 031094, 084827,  154.6,  4.095,
0530201506, 031094, 084732,  160.5,  3.878,
0530201505, 031094, 084637,  176.1,  3.436,
0540200415, 061894, 203509,    5.1,  3.766,
0540200414, 061894, 203329,   24.0,  3.904,
0540200413, 061894, 203143,   44.4,  4.053,
0540200412, 061894, 202924,   74.9,  3.459,
0540200411, 061894, 202719,   98.7,  3.674,
0540200410, 061894, 202711,   98.7,  3.657,
0540200409, 061894, 202510,  126.0,  3.346,
0540200408, 061894, 202329,  140.4,  3.707,
0540200407, 061894, 202156,  150.0,  3.594,
0540200406, 061894, 202004,  160.3,  3.234,
0540200405, 061894, 201825,  175.1,  2.688,
0550201312, 072694, 121000,    5.2,  4.289,
0550201311, 072694, 120824,   24.9,  4.147,
0550201310, 072694, 120645,   43.6,  5.272,
0550201309, 072694, 120516,   74.6,  3.356,
0550201308, 072694, 120326,  100.6,  2.970,
0550201307, 072694, 120156,  109.9,  2.969,
0550201306, 072694, 120028,  123.8,  2.658,
0550201305, 072694, 115806,  150.5,  2.257,
0550201304, 072694, 115602,  173.7,  1.690,
0560201424, 083194, 101551,    5.1,  4.591,
0560201423, 083194, 101438,    9.9,  4.719,
0560201422, 083194, 101311,   25.4,  4.545,
0560201421, 083194, 101144,   34.5,  4.486,
0560201420, 083194, 101014,   45.0,  4.669,
0560201419, 083194, 100843,   59.8,  6.651,
0560201418, 083194, 100705,   74.4,  4.126,
0560201416, 083194, 100402,  100.2,  3.619,
0560201412, 083194, 095853,  149.6,  2.507,
0560201411, 083194, 095718,  165.6,  2.705,
0560201410, 083194, 095608,  174.8,  2.514,
0570201216, 092494, 080853,    5.7,  5.659,
0570201214, 092494, 080720,   25.5,  5.215,
0570201213, 092494, 080536,   45.7,  5.168,
0570201212, 092494, 080321,   75.6,  4.713,
0570201211, 092494, 080221,   85.3,  4.663,
0570201210, 092494, 080122,   95.3,  4.407,
0570201209, 092494, 080027,  100.5,  4.498,
0570201208, 092494, 075932,  111.7,  3.591,
0570201207, 092494, 075818,  126.1,  2.994,
0570201206, 092494, 075703,  150.9,  2.497,
0570201205, 092494, 075551,  174.6,  1.863,
0580201512, 101694, 111329,    5.0,  3.743,
0580201511, 101694, 111154,   24.5,  3.914,
0580201510, 101694, 111020,   45.6,  3.783,
0580201509, 101694, 110829,   75.5,  3.980,
0580201508, 101694, 110651,  101.2,  3.721,
0580201507, 101694, 110512,  125.8,  2.532,
0580201506, 101694, 110329,  151.7,  2.238,
0580201505, 101694, 110137,  177.8,  1.823,
0590200615, 112094, 104440,    5.6,  3.860,
0590200614, 112094, 104245,   26.1,  3.680,
0590200613, 112094, 104124,   45.9,  3.939,
0590200612, 112094, 103940,   76.1,  3.641,
0590200611, 112094, 103831,   90.1,  3.855,
0590200610, 112094, 103728,   99.4,  3.569,
0590200609, 112094, 103625,  109.9,  3.134,
0590200608, 112094, 103511,  128.6,  2.870,
0590200607, 112094, 103245,  149.4,  2.097,
0590200606, 112094, 103116,  175.9,  1.139,
0600200616, 020795, 091418,    5.6,  4.105,
0600200614, 020795, 091236,   24.5,  4.190,
0600200613, 020795, 091056,   44.8,  4.283,
0600200612, 020795, 090835,   75.7,  4.409,
0600200611, 020795, 090629,  101.2,  4.127,
0600200610, 020795, 090507,  114.2,  3.811,
0600200609, 020795, 090353,  123.9,  3.513,
0600200608, 020795, 090257,  134.3,  3.226,
0600200607, 020795, 090202,  140.8,  3.017,
0600200606, 020795, 090059,  150.9,  2.508,
0600200605, 020795, 085929,  174.6,  1.879,
0610201312, 030595, 114219,    4.8,  3.786,
0610201311, 030595, 114027,   25.4,  4.188,
0610201310, 030595, 113845,   44.8,  3.285,
0610201309, 030595, 113709,   74.5,  3.511,
0610201308, 030595, 113520,  100.8,  2.959,
0610201307, 030595, 113314,  124.3,  2.129,
0610201306, 030595, 113126,  150.6,  1.682,
0610201305, 030595, 112911,  174.0,  1.564,
0620201415, 040795, 100406,    4.7,  4.233,
0620201414, 040795, 100230,   24.5,  3.566,
0620201413, 040795, 100055,   44.4,  4.061,
0620201412, 040795, 095858,   74.2,  4.070,
0620201411, 040795, 095719,  100.6,  3.563,
0620201410, 040795, 095440,  125.8,  3.489,
0620201409, 040795, 095327,  134.3,  2.972,
0620201408, 040795, 095221,  137.5,  3.018,
0620201407, 040795, 095049,  145.4,  2.954,
0620201406, 040795, 094950,  149.5,  2.752,
0620201405, 040795, 094753,  174.6,  2.858,
0630201317, 050895, 091727,    4.9,  4.133,
0630201315, 050895, 091548,   24.5,  4.641,
0630201314, 050895, 091400,   45.2,  4.568,
0630201313, 050895, 091227,   75.0,  4.889,
0630201312, 050895, 091102,   99.4,  5.028,
0630201311, 050895, 091006,  110.0,  4.368,
0630201310, 050895, 090918,  115.2,  4.028,
0630201309, 050895, 090824,  120.1,  4.179,
0630201308, 050895, 090729,  125.0,  4.285,
0630201307, 050895, 090554,  150.6,  3.638,
0630201306, 050895, 090427,  175.7,  2.663,
0640201518, 073195, 180223,    4.3,  6.006,
0640201516, 073195, 180048,   25.0,  6.062,
0640201514, 073195, 175858,   39.9,  6.268,
0640201513, 073195, 175709,   59.6,  4.376,
0640201512, 073195, 175502,   79.1,  4.083,
0640201510, 073195, 175319,   89.9,  2.738,
0640201508, 073195, 175116,   99.4,  2.439,
0640201506, 073195, 174911,  150.1,  2.869,
0650210008, 082995, -00009,    5.0,  4.171,
0650210007, 082995, -00009,   25.0,  4.463,
0650210006, 082995, -00009,   45.0,  4.800,
0650210004, 082995, -00009,  100.0,  4.074,
0650210003, 082995, -00009,  125.0,  2.337,
0650210002, 082995, -00009,  150.0,  1.935,
0660201418, 092895, 100216,    4.9,  4.288,
0660201417, 092895, 100058,   16.0,  4.416,
0660201416, 092895, 100010,   24.8,  4.564,
0660201415, 092895, 095904,   34.9,  6.326,
0660201414, 092895, 095806,   44.2,  5.556,
0660201413, 092895, 095714,   54.7,  6.673,
0660201412, 092895, 095624,   64.5,  6.453,
0660201411, 092895, 095526,   74.6,  5.198,
0660201410, 092895, 095416,   94.1,  5.489,
0660201409, 092895, 095332,   99.3,  5.099,
0660201408, 092895, 095232,  110.7,  3.263,
0660201407, 092895, 095125,  124.9,  2.256,
0660201406, 092895, 095009,  149.7,  2.020,
0660201405, 092895, 094839,  174.3,  1.705,
0670210008, 102795, -00009,    5.0,  5.121,
0670210007, 102795, -00009,   25.0,  5.011,
0670210006, 102795, -00009,   45.0,  5.142,
0670210005, 102795, -00009,   75.0,  5.157,
0670210004, 102795, -00009,  100.0,  3.745,
0670210003, 102795, -00009,  125.0,  2.908,
0670210002, 102795, -00009,  150.0,  2.530,
0670210001, 102795, -00009,  175.0,  2.307,
0680210008, 111795, -00009,    5.0,  4.308,
0680210007, 111795, -00009,   25.0,  4.391,
0680210006, 111795, -00009,   45.0,  4.351,
0680210005, 111795, -00009,   75.0,  4.130,
0680210004, 111795, -00009,  100.0,  3.786,
0680210003, 111795, -00009,  125.0,  2.455,
0680210002, 111795, -00009,  150.0,  1.925,
0690210008, 011796, -00009,    5.0,  5.798,
0690210007, 011796, -00009,   25.0,  5.466,
0690210006, 011796, -00009,   45.0,  5.771,
0690210005, 011796, -00009,   75.0,  4.983,
0690210004, 011796, -00009,  100.0,  4.262,
0690210003, 011796, -00009,  125.0,  2.735,
