botid, date, time, press, l12, 
#, mmddyy, hhmmss, dbar, mg C/m3, 
0440210008, 012093, -00009,    5.0,  4.280,
0440210007, 012093, -00009,   25.0,  5.497,
0440210006, 012093, -00009,   45.0,  5.097,
0440210005, 012093, -00009,   75.0,  2.347,
0440210004, 012093, -00009,  100.0,  0.950,
0440210003, 012093, -00009,  125.0,  0.260,
0440210002, 012093, -00009,  150.0,  0.127,
0440210001, 012093, -00009,  175.0,  0.050,
0450210008, 021793, -00009,    5.0,  6.387,
0450210007, 021793, -00009,   25.0,  4.363,
0450210006, 021793, -00009,   45.0,  4.157,
0450210005, 021793, -00009,   75.0,  0.467,
0450210004, 021793, -00009,  100.0,  1.073,
0450210003, 021793, -00009,  125.0,  0.307,
0450210002, 021793, -00009,  150.0,  0.093,
0450210001, 021793, -00009,  175.0,  0.033,
0460210008, 041593, -00009,    5.0,  6.140,
0460210007, 041593, -00009,   25.0,  5.443,
0460210006, 041593, -00009,   45.0,  4.773,
0460210005, 041593, -00009,   75.0,  3.320,
0460210004, 041593, -00009,  100.0,  3.710,
0460210003, 041593, -00009,  125.0,  0.183,
0460210002, 041593, -00009,  150.0,  0.187,
0460210001, 041593, -00009,  175.0,  0.167,
0470210008, 052093, -00009,    5.0,  7.253,
0470210007, 052093, -00009,   25.0,  7.590,
0470210006, 052093, -00009,   45.0,  6.603,
0470210005, 052093, -00009,   75.0,  5.680,
0470210004, 052093, -00009,  100.0,  2.443,
0470210003, 052093, -00009,  125.0,  1.323,
0470210002, 052093, -00009,  150.0,  0.363,
0470210001, 052093, -00009,  175.0,  0.147,
0490210008, 091493, -00009,    5.0,  7.967,
0490210007, 091493, -00009,   25.0,  7.527,
0490210006, 091493, -00009,   45.0,  5.297,
0490210005, 091493, -00009,   75.0,  3.050,
0490210004, 091493, -00009,  100.0,  1.253,
0490210003, 091493, -00009,  125.0,  0.480,
0490210002, 091493, -00009,  150.0,  0.243,
0490210001, 091493, -00009,  175.0,  0.213,
0500210008, 102993, -00009,    5.0,  3.687,
0500210007, 102993, -00009,   25.0,  2.710,
0500210006, 102993, -00009,   45.0,  1.780,
0500210005, 102993, -00009,   75.0,  1.203,
0500210004, 102993, -00009,  100.0,  0.930,
0500210003, 102993, -00009,  125.0,  0.227,
0500210002, 102993, -00009,  150.0,  0.090,
0500210001, 102993, -00009,  175.0,  0.037,
0510210008, 012094, -00009,    5.0,  4.913,
0510210007, 012094, -00009,   25.0,  4.917,
0510210006, 012094, -00009,   45.0,  2.827,
0510210005, 012094, -00009,   75.0,  1.523,
0510210004, 012094, -00009,  100.0,  0.973,
0510210003, 012094, -00009,  125.0,  0.147,
0510210002, 012094, -00009,  150.0,  0.110,
