botid, date, time, press, lln, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0440200512, 012093, 100604,    9.1,    2.2,
0440200511, 012093, 100428,   24.7,    4.9,
0440200510, 012093, 100321,   35.6,    3.4,
0440200509, 012093, 100211,   45.3,    1.6,
0440200507, 012093, 095907,   75.5,    2.0,
0440200506, 012093, 095814,   86.1,    2.4,
0440200505, 012093, 095707,   95.3,    3.9,
0440200504, 012093, 095551,  104.0,    5.9,
0440200502, 012093, 095354,  130.4,   42.3,
0440200812, 012093, 200615,    4.3,    1.9,
0440200811, 012093, 200450,   25.0,    1.4,
0440200810, 012093, 200347,   44.2,    1.9,
0440200809, 012093, 200226,   75.5,    1.0,
0440200808, 012093, 200114,   98.6,    1.8,
0440200807, 012093, 195958,  123.6,    4.2,
0440200806, 012093, 195830,  149.6,  640.0,
0450200621, 021793, 071005,    5.1,    2.4,
0450200620, 021793, 070835,   14.9,    1.9,
0450200618, 021793, 070703,   24.3,    2.3,
0450200617, 021793, 070557,   35.5,    2.3,
0450200616, 021793, 070450,   45.4,    5.5,
0450200615, 021793, 070319,   58.7,   65.8,
0450200614, 021793, 070157,   74.3,  171.8,
0450200613, 021793, 070040,   84.6,  274.8,
0450200612, 021793, 065942,   94.6,  429.4,
0460200323, 041493, 071322,    3.8,    2.1,
0460200322, 041493, 071130,   15.0,    1.2,
0460200320, 041493, 071013,   26.0,    1.7,
0460200319, 041493, 070922,   34.9,    2.1,
0460200318, 041493, 070831,   44.4,    2.3,
0460200317, 041493, 070738,   60.2,    2.7,
0460200316, 041493, 070643,   75.5,    1.6,
0460200315, 041493, 070547,   85.4,    1.8,
0460200314, 041493, 070452,   95.9,    2.1,
0460200313, 041493, 070356,  104.9,    2.0,
0460200312, 041493, 070245,  115.0,   54.4,
0460200311, 041493, 070154,  125.0,  158.6,
0460200310, 041493, 070057,  134.9,  493.1,
0460200309, 041493, 065937,  150.4,  549.8,
0470200924, 052193, 020723,    6.5,    8.8,
0470200922, 052193, 020536,   14.8,    6.7,
0470200920, 052193, 020352,   24.5,    4.6,
0470200919, 052193, 020232,   34.9,    5.8,
0470200918, 052193, 020124,   45.0,    4.3,
0470200917, 052193, 015956,   55.1,    6.3,
0470200916, 052193, 015822,   74.7,    5.5,
0470200915, 052193, 015715,   85.0,    4.9,
0470200914, 052193, 015611,   95.3,    3.7,
0470200913, 052193, 015432,  106.3,    5.2,
0470200912, 052193, 015321,  116.4,   13.5,
0470200911, 052193, 015212,  124.5,    6.7,
0470200910, 052193, 015057,  134.8,   33.2,
0470200909, 052193, 014941,  150.1,  612.4,
0490200723, 091493, 063900,    5.4,    8.4,
0490200722, 091493, 063652,   15.6,    2.0,
0490200721, 091493, 063459,   25.6,    2.0,
0490200720, 091493, 063257,   36.7,    2.6,
0490200719, 091493, 063103,   46.6,    1.6,
0490200717, 091493, 062724,   61.4,    1.9,
0490200716, 091493, 062523,   76.2,    2.9,
0490200715, 091493, 062336,   86.5,    1.4,
0490200714, 091493, 062137,   96.4,    1.4,
0490200713, 091493, 061950,  105.9,    2.2,
0490200712, 091493, 061805,  116.2,    3.2,
0490200710, 091493, 061437,  125.6,    9.8,
0490200708, 091493, 061111,  136.3,  256.5,
0500200623, 102993, 074530,    7.1,    1.2,
0500200622, 102993, 074421,   17.2,    0.8,
0500200620, 102993, 074255,   27.1,    2.0,
0500200619, 102993, 074117,   37.3,    1.0,
0500200618, 102993, 074000,   48.4,    0.8,
0500200617, 102993, 073831,   58.5,    0.9,
0500200616, 102993, 073558,   80.3,    0.8,
0500200615, 102993, 073442,   78.9,    1.0,
0500200614, 102993, 073318,   93.4,    1.6,
0500200613, 102993, 073200,  105.2,    5.5,
0500200612, 102993, 073009,  117.8,   74.5,
0510200422, 012094, 091215,    7.5,    1.1,
0510200421, 012094, 091156,   17.1,    0.9,
0510200419, 012094, 090954,   27.3,    2.1,
0510200418, 012094, 090940,   36.7,    1.2,
0510200416, 012094, 090726,   62.9,    0.9,
0510200415, 012094, 090613,   76.6,    1.4,
0510200414, 012094, 090504,   85.8,    1.2,
0510200413, 012094, 090409,   96.1,    6.8,
0510200412, 012094, 090312,  106.4,   26.0,
0510200411, 012094, 090218,  114.6,   42.1,
0510200410, 012094, 090118,  125.7,  307.5,
0510200409, 012094, 090023,  136.4,  515.2,
0510200408, 012094, 085920,  153.1,  812.0,
0510200407, 012094, 085751,  163.9,  907.0,
0520200517, 021794, 065711,    4.8,    1.5,
0520200516, 021794, 065604,   15.0,    0.8,
0520200515, 021794, 065455,   25.4,    0.6,
0520200514, 021794, 065351,   35.0,    1.4,
0520200513, 021794, 065249,   44.9,    0.5,
0520200512, 021794, 065129,   61.4,    0.5,
0520200511, 021794, 065000,   77.8,    0.5,
0520200510, 021794, 064852,   85.6,    1.3,
0520200509, 021794, 064752,   95.4,    1.4,
0520200508, 021794, 064651,  106.1,    0.8,
0520200507, 021794, 064545,  114.4,    1.5,
0520200506, 021794, 064445,  125.5,    2.6,
0520200505, 021794, 064343,  135.2,    4.5,
0520200504, 021794, 064230,  150.4,  101.7,
0520201124, 021894, 020158,    3.8,    5.7,
0520201122, 021894, 020029,   13.7,    5.9,
0520201120, 021894, 015849,   25.3,    6.5,
0520201118, 021894, 015619,   34.5,    8.6,
0520201117, 021894, 015514,   44.6,    7.8,
0520201116, 021894, 015411,   54.4,    7.9,
0520201115, 021894, 015314,   64.4,    7.4,
0520201114, 021894, 015215,   74.7,   19.7,
0520201113, 021894, 015122,   84.5,    7.8,
