botid, date, time, press, llp, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0440200412, 012093, 065339,  135.1,  171.9,
0440200411, 012093, 064858,  149.7,  215.8,
0440200409, 012093, 064644,  173.8,  240.2,
0440200407, 012093, 064443,  198.1,  370.1,
0440200512, 012093, 100604,    9.1,   46.9,
0440200511, 012093, 100428,   24.7,   43.9,
0440200510, 012093, 100321,   35.6,   35.2,
0440200509, 012093, 100211,   45.3,   35.2,
0440200507, 012093, 095907,   75.5,   35.2,
0440200506, 012093, 095814,   86.1,   43.0,
0440200502, 012093, 095354,  130.4,   43.9,
0450200621, 021793, 071005,    5.1,   81.1,
0450200620, 021793, 070835,   14.9,   83.0,
0450200618, 021793, 070703,   24.3,   76.2,
0450200617, 021793, 070557,   35.5,   75.2,
0450200616, 021793, 070450,   45.4,   78.1,
0450200615, 021793, 070319,   58.7,   95.7,
0450200614, 021793, 070157,   74.3,   96.7,
0450200613, 021793, 070040,   84.6,   84.0,
0450200612, 021793, 065942,   94.6,  113.3,
0450200611, 021793, 065829,  104.7,  162.1,
0450200610, 021793, 065657,  114.5,  207.0,
0450200609, 021793, 065354,  124.5,  264.6,
0450200608, 021793, 065233,  137.0,  280.3,
0450200607, 021793, 065048,  151.5,  331.1,
0450200605, 021793, 064800,  175.4,  411.2,
0460200323, 041493, 071322,    3.8,   74.2,
0460200322, 041493, 071130,   15.0,   70.3,
0460200320, 041493, 071013,   26.0,   65.4,
0460200319, 041493, 070922,   34.9,   64.5,
0460200318, 041493, 070831,   44.4,   83.0,
0460200316, 041493, 070643,   75.5,   66.4,
0460200313, 041493, 070356,  104.9,   64.5,
0460200311, 041493, 070154,  125.0,  108.4,
0460200309, 041493, 065937,  150.4,  102.5,
0460200307, 041493, 065652,  176.2,  114.2,
0460200305, 041493, 065418,  196.2,  172.8,
0470200924, 052193, 020723,    6.5,   26.4,
0470200922, 052193, 020536,   14.8,   24.4,
0470200920, 052193, 020352,   24.5,   26.4,
0470200919, 052193, 020232,   34.9,   28.3,
0470200918, 052193, 020124,   45.0,   33.2,
0470200917, 052193, 015956,   55.1,   21.5,
0470200916, 052193, 015822,   74.7,   20.5,
0470200913, 052193, 015432,  106.3,   11.7,
0470200911, 052193, 015212,  124.5,   35.2,
0470200909, 052193, 014941,  150.1,  106.4,
0470200907, 052193, 014625,  176.4,  118.2,
0490200723, 091493, 063900,    5.4,   36.1,
0490200722, 091493, 063652,   15.6,   46.9,
0490200721, 091493, 063459,   25.6,   45.9,
0490200720, 091493, 063257,   36.7,   43.9,
0490200719, 091493, 063103,   46.6,   21.5,
0490200716, 091493, 062523,   76.2,   41.0,
0490200713, 091493, 061950,  105.9,   79.1,
0490200710, 091493, 061437,  125.6,  101.6,
0490200708, 091493, 061111,  136.3,  136.7,
0490200707, 091493, 060857,  154.2,  228.5,
0490200705, 091493, 060454,  177.7,  325.2,
0500200622, 102993, 074421,   17.2,    8.8,
0500200620, 102993, 074255,   27.1,   56.6,
0500200619, 102993, 074117,   37.3,   43.0,
0500200618, 102993, 074000,   48.4,   48.8,
0500200617, 102993, 073831,   58.5,   29.3,
0500200616, 102993, 073558,   80.3,   28.3,
0500200613, 102993, 073200,  105.2,   59.6,
0500200610, 102993, 072754,  125.0,  112.3,
0500200607, 102993, 072336,  148.9,  302.7,
0500200605, 102993, 072023,  176.8,  423.9,
0500200603, 102993, 071650,  197.4,  513.8,
0510200422, 012094, 091215,    7.5,   50.8,
0510200421, 012094, 091156,   17.1,   60.5,
0510200419, 012094, 090954,   27.3,   65.4,
0510200418, 012094, 090940,   36.7,   64.4,
0510200416, 012094, 090726,   62.9,   54.7,
0510200415, 012094, 090613,   76.6,   86.9,
0510200414, 012094, 090504,   85.8,   51.8,
0510200413, 012094, 090409,   96.1,   77.1,
0510200412, 012094, 090312,  106.4,   84.0,
0510200411, 012094, 090218,  114.6,   64.4,
0510200410, 012094, 090118,  125.7,  110.3,
0510200408, 012094, 085920,  153.1,  160.1,
0510200406, 012094, 085648,  168.8,  132.8,
0520200416, 021794, 035901,  199.0,  256.8,
0520200517, 021794, 065711,    4.8,   19.5,
0520200516, 021794, 065604,   15.0,   20.5,
0520200515, 021794, 065455,   25.4,   14.6,
0520200514, 021794, 065351,   35.0,   17.6,
0520200513, 021794, 065249,   44.9,   13.7,
0520200512, 021794, 065129,   61.4,   11.7,
0520200511, 021794, 065000,   77.8,   22.5,
0520200508, 021794, 064651,  106.1,   11.7,
0520200506, 021794, 064445,  125.5,   22.5,
0520200504, 021794, 064230,  150.4,   19.5,
0530200621, 030994, 060838,    4.6,   30.3,
0530200620, 030994, 060708,   14.9,   30.3,
0530200618, 030994, 060546,   25.2,   30.3,
0530200617, 030994, 060448,   36.8,   34.2,
0530200616, 030994, 060347,   45.5,   37.1,
0530200615, 030994, 060226,   60.1,   24.4,
0530200614, 030994, 060130,   75.0,   20.5,
0530200611, 030994, 055837,  104.9,   32.2,
0530200609, 030994, 055642,  125.8,   41.0,
0530200607, 030994, 055225,  149.2,   67.4,
0530200605, 030994, 055008,  174.7,   69.3,
0540201321, 061994, 230633,    5.1,   58.6,
0540201320, 061994, 230503,   14.9,   58.6,
0540201318, 061994, 230339,   24.7,   60.6,
0540201316, 061994, 230056,   44.6,   42.0,
