botid, date, time, press, pc, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0440200912, 012093, 232643,    4.3,   1.53,
0440200911, 012093, 232519,   25.0,   1.74,
0440200910, 012093, 232406,   45.1,   1.67,
0440200909, 012093, 232239,   72.6,   1.50,
0440200908, 012093, 232103,   99.8,   1.25,
0440200907, 012093, 231939,  120.6,   1.13,
0440200906, 012093, 231812,  145.5,   0.86,
0440200905, 012093, 231631,  177.2,   0.52,
0450200320, 021693, 223819,    6.8,   1.59,
0450200319, 021693, 223633,   24.6,   1.78,
0450200318, 021693, 223505,   44.8,   2.13,
0450200317, 021693, 223332,   60.3,   1.84,
0450200316, 021693, 223224,   65.0,   2.17,
0450200315, 021693, 223109,   71.0,   1.76,
0450200313, 021693, 222832,   80.3,   1.62,
0450200312, 021693, 222656,   95.2,   1.25,
0450200311, 021693, 222523,  100.5,   1.04,
0450200310, 021693, 222400,  105.4,   1.10,
0450200309, 021693, 222209,  125.2,   0.61,
0450200308, 021693, 222022,  150.6,   0.54,
0450200307, 021693, 221844,  169.9,   0.52,
0460200518, 041493, 153805,    5.5,   1.95,
0460200517, 041493, 153609,   28.6,   1.95,
0460200516, 041493, 153552,   28.0,   1.79,
0460200515, 041493, 153424,   44.8,   1.63,
0460200514, 041493, 153242,   74.6,   1.46,
0460200513, 041493, 153121,   89.7,   1.71,
0460200512, 041493, 153020,   99.8,   2.11,
0460200511, 041493, 152950,   99.8,   1.79,
0460200510, 041493, 152845,  109.0,   2.11,
0460200509, 041493, 152737,  126.0,   1.46,
0460200508, 041493, 152555,  140.5,   1.14,
0460200507, 041493, 152454,  148.2,   1.06,
0460200506, 041493, 152303,  174.1,   0.59,
0470200618, 052093, 172422,    7.2,   3.65,
0470200616, 052093, 172117,   27.5,   2.08,
0470200615, 052093, 171923,   48.2,   1.33,
0470200614, 052093, 171816,   48.2,   1.72,
0470200613, 052093, 171634,   78.7,   1.89,
0470200612, 052093, 171539,   78.8,   1.77,
0470200611, 052093, 171336,  103.8,   1.89,
0470200610, 052093, 171148,  121.3,   1.50,
0470200607, 052093, 170619,  174.8,   0.82,
0490200422, 091393, 224029,    7.0,   1.93,
0490200421, 091393, 223826,   25.5,   2.04,
0490200420, 091393, 223810,   25.2,   2.09,
0490200419, 091393, 223611,   47.0,   2.03,
0490200418, 091393, 223349,   76.8,   2.14,
0490200417, 091393, 223136,   98.7,   1.93,
0490200416, 091393, 223114,   98.8,   1.85,
0490200413, 091393, 222501,  122.5,   1.34,
0490200409, 091393, 221919,  149.4,   0.96,
0490200407, 091393, 221627,  177.4,   0.55,
0500200418, 102993, 023037,    7.3,   2.48,
0500200417, 102993, 022904,   27.4,   2.25,
0500200416, 102993, 022721,   50.1,   2.51,
0500200415, 102993, 022605,   55.9,   2.18,
0500200414, 102993, 022448,   74.0,   2.00,
0500200413, 102993, 022336,   90.6,   2.08,
0500200412, 102993, 022230,  100.4,   1.62,
0500200411, 102993, 022126,  104.8,   1.87,
0500200410, 102993, 022011,  109.5,   1.41,
0500200409, 102993, 021838,  113.9,   1.82,
0500200408, 102993, 021716,  125.2,   1.78,
0500200407, 102993, 021541,  150.8,   0.84,
0500200406, 102993, 021414,  174.5,   0.62,
0510200823, 012094, 212030,    6.9,   1.67,
0510200822, 012094, 211822,   12.6,   1.82,
0510200821, 012094, 211704,   27.6,   1.46,
0510200820, 012094, 211544,   46.4,   1.84,
0510200818, 012094, 211311,   62.8,   1.60,
0510200817, 012094, 211133,   72.9,   1.52,
0510200816, 012094, 211001,   84.9,   0.72,
0510200815, 012094, 210831,   99.3,   1.47,
0510200814, 012094, 210723,  116.2,   1.08,
0510200809, 012094, 210153,  175.9,   0.59,
0510201624, 012194, 231545,    6.8,   1.89,
0510201621, 012194, 231242,   25.5,   2.06,
0510201619, 012194, 231101,   53.4,   1.95,
0510201617, 012194, 230914,   76.9,   1.61,
0510201613, 012194, 230627,  101.1,   0.99,
0510201611, 012194, 230558,  101.8,   0.56,
0510201610, 012194, 230542,  101.9,   1.22,
0510201608, 012194, 230339,  127.1,   0.78,
0510201607, 012194, 230215,  150.6,   1.54,
0510201606, 012194, 230009,  173.7,   0.59,
0520200924, 021794, 195707,    5.5,   2.24,
0520200923, 021794, 195548,   25.2,   2.11,
0520200922, 021794, 195427,   44.8,   1.94,
0520200920, 021794, 194920,   69.8,   1.89,
0520200918, 021794, 194735,   74.8,   1.93,
0520200916, 021794, 194523,  100.1,   1.74,
0520200914, 021794, 194326,  126.3,   1.45,
0520200912, 021794, 194112,  149.8,   1.08,
0520200910, 021794, 193858,  176.1,   1.11,
0530201124, 030994, 205953,    5.6,   1.84,
0530201122, 030994, 205750,   25.4,   1.95,
0530201121, 030994, 205630,   45.6,   1.93,
0530201117, 030994, 205254,   75.3,   2.11,
0530201115, 030994, 205116,  100.6,   1.76,
0530201114, 030994, 204956,  126.2,   1.56,
0530201113, 030994, 204824,  140.8,   1.57,
0530201111, 030994, 204649,  147.1,   1.24,
0530201109, 030994, 204443,  175.7,   0.94,
0540200716, 061994, 045935,   25.5,   2.30,
0540200714, 061994, 045742,   46.3,   2.37,
0540200713, 061994, 045628,   49.2,   2.48,
0540200712, 061994, 045439,   75.0,   2.65,
0540200710, 061994, 045315,  113.9,   2.46,
0540200709, 061994, 045200,  132.9,   2.41,
0540200707, 061994, 044951,  150.5,   1.33,
0540200706, 061994, 044817,  175.8,   0.98,
0550200815, 072594, 211726,    4.8,   3.93,
0550200814, 072594, 211614,   25.3,   2.64,
0550200813, 072594, 211513,   46.0,   2.98,
0550200812, 072594, 211344,   75.2,   2.37,
0550200811, 072594, 211235,   90.3,   2.35,
0550200810, 072594, 211158,  100.5,   1.96,
0550200809, 072594, 211036,  110.7,   1.87,
0550200808, 072594, 210942,  125.6,   1.72,
0550200807, 072594, 210836,  150.7,   0.58,
0550200806, 072594, 210732,  174.5,   1.00,
0560200817, 083094, 162541,    4.7,   5.01,
0560200816, 083094, 162421,   25.2,   2.04,
0560200815, 083094, 162318,   44.5,   2.11,
0560200814, 083094, 162146,   75.2,   2.63,
0560200813, 083094, 162021,   94.2,   2.22,
0560200812, 083094, 161927,  100.4,   1.78,
0560200811, 083094, 161822,  104.7,   1.82,
0560200810, 083094, 161732,  109.7,   1.72,
0560200809, 083094, 161649,  114.8,   1.50,
0560200808, 083094, 161544,  125.0,   1.15,
0560200807, 083094, 161419,  149.8,   0.87,
0560200806, 083094, 161254,  174.8,   0.74,
0560201113, 083194, 012530,    5.5,   2.06,
0560201110, 083194, 012312,   24.7,   2.51,
0560201109, 083194, 012148,   45.4,   2.02,
0560201108, 083194, 012042,   76.1,   2.36,
0560201107, 083194, 011926,  101.5,   2.02,
0560201106, 083194, 011809,  125.6,   1.65,
0560201105, 083194, 011653,  151.1,   1.11,
0560201104, 083194, 011457,  178.5,   0.85,
0570200716, 092394, 165913,    5.5,   1.95,
0570200715, 092394, 165731,   24.7,   2.18,
0570200714, 092394, 165601,   45.6,   2.22,
0570200713, 092394, 165440,   75.1,   2.12,
0570200712, 092394, 165321,   99.5,   1.90,
0570200711, 092394, 165227,  109.9,   1.86,
0570200710, 092394, 165123,  114.5,   1.89,
0570200709, 092394, 165026,  119.6,   1.94,
0570200708, 092394, 164928,  125.0,   1.70,
0570200707, 092394, 164828,  129.6,   1.53,
0570200706, 092394, 164703,  150.5,   0.89,
0570200705, 092394, 164526,  175.5,   0.70,
0580200319, 101594, 010049,    5.0,   1.74,
0580200318, 101594, 005924,   25.6,   2.00,
0580200317, 101594, 005812,   45.2,   1.99,
0580200313, 101594, 005519,   75.3,   2.01,
0580200312, 101594, 005412,  100.1,   1.80,
0580200311, 101594, 005327,  105.2,   1.58,
0580200310, 101594, 005245,  109.3,   1.33,
0580200309, 101594, 005135,  115.9,   1.21,
0580200308, 101594, 005048,  120.2,   1.20,
0580200307, 101594, 005009,  125.1,   1.27,
0580200306, 101594, 004858,  149.8,   0.66,
0580200305, 101594, 004719,  174.9,   0.57,
0590200123, 111994, 195457,    5.6,   1.43,
0590200120, 111994, 195223,   25.4,   1.50,
0590200119, 111994, 195031,   45.3,   1.89,
0590200111, 111994, 194546,   76.2,   1.85,
0590200110, 111994, 194411,   93.8,   1.48,
0590200109, 111994, 194239,  110.8,   1.27,
0590200108, 111994, 194104,  127.6,   0.79,
0590200107, 111994, 193915,  152.9,   0.66,
0590200106, 111994, 193702,  183.0,   0.58,
0600200316, -00009, -00009,    4.4,   2.14,
0600200315, -00009, -00009,   24.4,   2.34,
0600200313, -00009, -00009,   73.5,   2.00,
0600200312, -00009, -00009,  101.1,   1.87,
0600200311, -00009, -00009,  110.2,   1.64,
0600200310, -00009, -00009,  119.3,   1.35,
0600200309, -00009, -00009,  123.3,   1.41,
0600200308, -00009, -00009,  128.9,   1.44,
0600200307, -00009, -00009,  139.0,   1.02,
0600200306, -00009, -00009,  147.5,   0.94,
0600200305, -00009, -00009,  173.1,   0.59,
0610200713, 030495, 173826,    4.8,   1.63,
0610200712, 030495, 173708,   25.2,   1.58,
0610200711, 030495, 173601,   46.0,   1.54,
0610200710, 030495, 173448,   74.9,   1.43,
0610200709, 030495, 173317,  102.9,   1.37,
0610200708, 030495, 173109,  127.3,   0.89,
0610200707, 030495, 172947,  147.1,   0.63,
0610200706, 030495, 172820,  173.8,   0.50,
0610200812, 030495, 203014,   25.0,   1.82,
0610200811, 030495, 202824,   45.4,   1.69,
0620200316, 040695, 010405,    5.3,   1.84,
0620200315, 040695, 010230,   24.7,   1.89,
0620200314, 040695, 010104,   45.1,   1.84,
0620200313, 040695, 005928,   75.3,   1.59,
0620200312, 040695, 005750,   99.4,   1.64,
0620200311, 040695, 005639,  109.5,   1.63,
0620200310, 040695, 005520,  124.9,   1.33,
