botid, date, time, press, pe10, 
#, mmddyy, hhmmss, dbar, ng/l, 
1160200423, 062000, 224725,    4.0,   2.86,
1160200422, 062000, 224645,   14.4,  10.06,
1160200421, 062000, 224605,   24.1,   6.80,
1160200418, 062000, 224415,   34.5,   3.42,
1160200417, 062000, 224405,   34.5,   1.59,
1160200415, 062000, 224315,   44.1,   0.08,
1160200414, 062000, 224235,   58.6,   0.28,
1160200412, 062000, 224141,   74.2,   0.38,
1160200410, 062000, 224025,   99.5,   1.21,
1160200408, 062000, 223915,  123.6,   0.00,
1160200406, 062000, 223810,  149.2,   0.33,
1170201021, 072700, 015243,    4.3,   5.35,
1170201019, 072700, 015125,   14.4,   3.77,
1170201017, 072700, 015004,   24.4,   6.95,
1170201015, 072700, 014840,   35.5,   9.20,
1170201013, 072700, 014720,   44.3,   5.81,
1170201009, 072700, 014516,   59.5,   8.65,
1170201008, 072700, 014404,   75.9,   6.66,
1170201006, 072700, 014213,  103.3,   0.00,
1170201005, 072700, 014054,  123.6,   0.00,
1170201003, 072700, 013925,  150.5,   0.15,
1180201215, 082300, 214644,    4.2,   0.33,
1180201214, 082300, 214541,   13.7,   0.41,
1180201212, 082300, 214432,   25.0,   3.55,
1180201211, 082300, 214337,   34.7,   0.40,
1180201210, 082300, 214327,   34.7,   0.70,
1180201209, 082300, 214317,   34.9,   0.50,
1180201207, 082300, 214121,   50.7,   1.01,
1180201206, 082300, 214006,   80.0,   0.89,
1180201205, 082300, 213956,   80.0,   0.00,
1180201204, 082300, 213946,   79.8,   0.00,
1180201203, 082300, 213815,  115.4,   0.00,
1190200622, 101800, 070110,    5.6,   1.43,
1190200620, 101800, 065941,   14.5,   2.01,
1190200619, 101800, 065819,   24.9,   1.67,
1190200615, 101800, 065524,   34.5,   2.29,
1190200614, 101800, 065510,   34.3,   1.21,
1190200613, 101800, 065456,   34.3,   1.82,
1190200611, 101800, 065228,   50.0,   2.59,
1190200608, 101800, 064803,   79.7,   1.60,
1190200607, 101800, 064748,   79.8,   1.48,
1190200606, 101800, 064734,   79.5,   2.01,
1190200603, 101800, 064412,  124.9,   1.77,
1190200602, 101800, 064231,  151.6,   1.16,
1200201022, 113000, 185226,    4.4,   0.25,
1200201021, 113000, 185131,   14.3,   0.43,
1200201020, 113000, 185036,   24.4,   1.19,
1200201018, 113000, 184922,   35.0,   0.56,
1200201017, 113000, 184911,   35.0,   0.89,
1200201016, 113000, 184821,   44.4,   1.58,
1200201015, 113000, 184717,   59.8,   1.57,
1200201014, 113000, 184611,   73.8,   0.75,
1200201012, 113000, 184447,   99.9,   0.56,
1200201010, 113000, 184301,  124.1,   0.49,
1200201009, 113000, 184152,  148.5,   0.00,
1200201008, 113000, 184031,  174.6,   0.18,
1210201119, 122000, 190304,    3.6,   0.24,
1210201117, 122000, 190204,   14.6,   0.60,
1210201116, 122000, 190109,   24.1,   0.73,
1210201114, 122000, 185939,   34.4,   0.33,
1210201113, 122000, 185929,   34.4,   0.11,
1210201111, 122000, 185819,   43.9,   0.35,
1210201109, 122000, 185704,   59.8,   0.00,
1210201107, 122000, 185554,   74.1,   0.28,
1210201106, 122000, 185444,   99.8,   0.19,
1210201105, 122000, 185334,  123.9,   0.00,
1210201104, 122000, 185219,  149.5,   0.09,
1210201103, 122000, 185054,  175.9,   0.00,
1220200314, 011601, 214606,    3.3,   0.55,
1220200313, 011601, 214526,   13.7,   0.16,
1220200312, 011601, 214441,   23.5,   0.00,
1220200311, 011601, 214346,   33.6,   0.05,
1220200310, 011601, 214336,   33.7,   0.40,
1220200309, 011601, 214251,   43.6,   0.17,
1220200308, 011601, 214206,   57.6,   0.00,
1220200307, 011601, 214116,   74.2,   0.00,
1220200306, 011601, 214026,   98.2,   0.00,
1220200305, 011601, 213926,  124.1,   0.00,
