botid, date, time, press, ph, 
#, mmddyy, hhmmss, dbar,  , 
0440200412, 012093, 065339,  135.1,  8.071,
0440200410, 012093, 064754,  160.5,  8.019,
0440200512, 012093, 100604,    9.1,  8.094,
0440200511, 012093, 100428,   24.7,  8.095,
0440200509, 012093, 100211,   45.3,  8.092,
0440200507, 012093, 095907,   75.5,  8.097,
0440200502, 012093, 095354,  130.4,  8.089,
0440200611, 012093, 142230,    6.5,  8.081,
0440200712, 012093, 174715,    3.9,  8.098,
0440200812, 012093, 200615,    4.3,  8.090,
0440201004, 012193, 022926,    5.2,  8.096,
0440201104, 012193, 053359,   10.7,  8.098,
0440201208, 012193, 082847,   11.3,  8.090,
0440201207, 012193, 082832,   11.3,  8.094,
0440201205, 012193, 082657,   27.6,  8.097,
0440201204, 012193, 082649,   27.6,  8.096,
0440201312, 012193, 114728,    5.2,  8.099,
0440201412, 012193, 144314,    8.8,  8.090,
0440201609, 012193, 202911,    8.7,  8.090,
0440201712, 012293, 001237,    7.2,  8.092,
0440201804, 012293, 025253,    7.3,  8.097,
0450200621, 021793, 071005,    5.1,  8.102,
0450200618, 021793, 070703,   24.3,  8.089,
0450200616, 021793, 070450,   45.4,  8.087,
0450200614, 021793, 070157,   74.3,  8.073,
0450200610, 021793, 065657,  114.5,  8.022,
0450200607, 021793, 065048,  151.5,  7.977,
0460200323, 041493, 071322,    3.8,  8.089,
0460200320, 041493, 071013,   26.0,  8.090,
0460200316, 041493, 070643,   75.5,  8.088,
0460200313, 041493, 070356,  104.9,  8.077,
0460200311, 041493, 070154,  125.0,  8.058,
0460200309, 041493, 065937,  150.4,  8.051,
0460200305, 041493, 065418,  196.2,  8.009,
0460200416, 041493, 103653,  148.1,  8.058,
0460200415, 041493, 103520,  179.0,  8.042,
0470200923, 052193, 020700,    6.6,  8.099,
0470200921, 052193, 020414,   24.5,  8.095,
0470200911, 052193, 015212,  124.5,  8.081,
0470200909, 052193, 014941,  150.1,  8.046,
0470200907, 052193, 014625,  176.4,  8.035,
0500200623, 102993, 074530,    7.1,  8.114,
0500200622, 102993, 074421,   17.2,  8.115,
0500200620, 102993, 074255,   27.1,  8.115,
0500200618, 102993, 074000,   48.4,  8.110,
0500200617, 102993, 073831,   58.5,  8.106,
0500200616, 102993, 073558,   80.3,  8.084,
0500200615, 102993, 073442,   78.9,  8.083,
0500200614, 102993, 073318,   93.4,  8.070,
0500200613, 102993, 073200,  105.2,  8.046,
0500200612, 102993, 073009,  117.8,  8.038,
0500200610, 102993, 072754,  125.0,  8.032,
0500200608, 102993, 072512,  138.4,  8.010,
0500200607, 102993, 072336,  148.9,  7.988,
0500200606, 102993, 072201,  163.4,  7.977,
0500200604, 102993, 071824,  182.6,  7.962,
0500201514, 103093, 113012,  125.8,  8.000,
0500201513, 103093, 112904,  134.9,  7.988,
0500201512, 103093, 112800,  144.8,  7.981,
0500201511, 103093, 112653,  155.2,  7.976,
0500201510, 103093, 112543,  165.5,  7.961,
0500201509, 103093, 112435,  175.3,  7.956,
0500201508, 103093, 112322,  185.6,  7.947,
0500201507, 103093, 112217,  194.6,  7.924,
0550200424, 072594, 080841,    4.7,  8.104,
0550200418, 072594, 080309,   43.8,  8.107,
0550200417, 072594, 080147,   59.8,  8.102,
0550200416, 072594, 080028,   74.3,  8.095,
0550200412, 072594, 075548,  104.2,  8.082,
0550200411, 072594, 075431,  115.3,  8.061,
0550200410, 072594, 075215,  124.2,  8.062,
0550200409, 072594, 075043,  134.4,  8.033,
0550200405, 072594, 074516,  175.0,  7.995,
0550200404, 072594, 074318,  184.8,  7.981,
0560200519, 083094, 064327,   25.2,  8.110,
0560200517, 083094, 064204,   35.2,  8.110,
0560200516, 083094, 064059,   44.6,  8.111,
0560200515, 083094, 063939,   59.6,  8.096,
