botid, date, time, press, phos, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0440200212, 012093, 012624,    8.9,   0.05,
0440200211, 012093, 012521,   34.5,   0.05,
0440200210, 012093, 012413,   53.9,   0.05,
0440200209, 012093, 012228,  101.7,   0.04,
0440200208, 012093, 012138,  105.5,   0.05,
0440200207, 012093, 012005,  146.7,   0.11,
0440200412, 012093, 065339,  135.1,   0.06,
0440200411, 012093, 064858,  149.7,   0.14,
0440200410, 012093, 064754,  160.5,   0.17,
0440200408, 012093, 064544,  198.1,   0.20,
0440200512, 012093, 100604,    9.1,   0.06,
0440200511, 012093, 100428,   24.7,   0.05,
0440200510, 012093, 100321,   35.6,   0.04,
0440200509, 012093, 100211,   45.3,   0.04,
0440200507, 012093, 095907,   75.5,   0.04,
0440200506, 012093, 095814,   86.1,   0.04,
0440200505, 012093, 095707,   95.3,   0.04,
0440200504, 012093, 095551,  104.0,   0.04,
0440200502, 012093, 095354,  130.4,   0.04,
0450200224, 021693, 193718,    7.7,   0.06,
0450200223, 021693, 193555,   15.7,   0.07,
0450200222, 021693, 193424,   25.8,   0.06,
0450200221, 021693, 193206,   50.7,   0.06,
0450200220, 021693, 192944,   95.4,   0.10,
0450200219, 021693, 192747,  100.4,   0.12,
0450200218, 021693, 192619,  110.5,   0.19,
0450200217, 021693, 192346,  144.5,   0.21,
0450200621, 021793, 071005,    5.1,   0.07,
0450200618, 021793, 070703,   24.3,   0.07,
0450200617, 021793, 070557,   35.5,   0.06,
0450200616, 021793, 070450,   45.4,   0.06,
0450200615, 021793, 070319,   58.7,   0.07,
0450200614, 021793, 070157,   74.3,   0.07,
0450200613, 021793, 070040,   84.6,   0.07,
0450200612, 021793, 065942,   94.6,   0.08,
0450200611, 021793, 065829,  104.7,   0.12,
0450200610, 021793, 065657,  114.5,   0.19,
0450200609, 021793, 065354,  124.5,   0.21,
0450200608, 021793, 065233,  137.0,   0.21,
0450200607, 021793, 065048,  151.5,   0.25,
0450200605, 021793, 064800,  175.4,   0.33,
0460200124, 041393, 212305,   11.2,   0.06,
0460200123, 041393, 211723,  191.9,   0.18,
0460200224, 041493, 020841,    5.9,   0.05,
0460200223, 041493, 020522,   57.3,   0.04,
0460200221, 041493, 020018,  158.0,   0.15,
0460200220, 041493, 015810,  175.1,   0.16,
0460200219, 041493, 015718,  181.4,   0.18,
0460200218, 041493, 015554,  197.8,   0.20,
0460200323, 041493, 071322,    3.8,   0.05,
0460200322, 041493, 071130,   15.0,   0.05,
0460200320, 041493, 071013,   26.0,   0.05,
0460200319, 041493, 070922,   34.9,   0.05,
0460200318, 041493, 070831,   44.4,   0.05,
0460200317, 041493, 070738,   60.2,   0.04,
0460200316, 041493, 070643,   75.5,   0.05,
0460200315, 041493, 070547,   85.4,   0.04,
0460200314, 041493, 070452,   95.9,   0.05,
0460200313, 041493, 070356,  104.9,   0.06,
0460200312, 041493, 070245,  115.0,   0.07,
0460200311, 041493, 070154,  125.0,   0.10,
0460200310, 041493, 070057,  134.9,   0.10,
0460200309, 041493, 065937,  150.4,   0.09,
0460200307, 041493, 065652,  176.2,   0.10,
0460200305, 041493, 065418,  196.2,   0.17,
0460200417, 041493, 103826,  104.2,   0.04,
0460200416, 041493, 103653,  148.1,   0.08,
0460200415, 041493, 103520,  179.0,   0.09,
0470200124, 052093, 013246,    5.5,   0.04,
0470200123, 052093, 012905,   78.9,   0.08,
0470200122, 052093, 012519,  177.9,   0.13,
0470200224, 052093, 051746,   14.7,   0.02,
0470200223, 052093, 051533,   50.5,   0.03,
0470200222, 052093, 051305,   98.8,   0.02,
0470200221, 052093, 051048,  162.2,   0.10,
0470200220, 052093, 050901,  185.2,   0.09,
0470200924, 052193, 020723,    6.5,   0.02,
0470200922, 052193, 020536,   14.8,   0.02,
0470200920, 052193, 020352,   24.5,   0.02,
0470200919, 052193, 020232,   34.9,   0.02,
0470200918, 052193, 020124,   45.0,   0.01,
0470200917, 052193, 015956,   55.1,   0.01,
0470200916, 052193, 015822,   74.7,   0.01,
0470200915, 052193, 015715,   85.0,   0.00,
0470200914, 052193, 015611,   95.3,   0.01,
0470200913, 052193, 015432,  106.3,   0.03,
0470200912, 052193, 015321,  116.4,   0.04,
0470200911, 052193, 015212,  124.5,   0.03,
0470200910, 052193, 015057,  134.8,   0.04,
0470200909, 052193, 014941,  150.1,   0.11,
0470200907, 052193, 014625,  176.4,   0.11,
0490200124, 091393, 152012,   12.0,   0.05,
0490200123, 091393, 151656,   46.7,   0.03,
0490200224, -00009, -00009,   40.8,   0.04,
0490200223, -00009, -00009,   74.2,   0.02,
0490200222, -00009, -00009,   99.5,   0.04,
0490200221, -00009, -00009,  140.2,   0.13,
0490200723, 091493, 063900,    5.4,   0.03,
0490200722, 091493, 063652,   15.6,   0.03,
0490200721, 091493, 063459,   25.6,   0.03,
0490200720, 091493, 063257,   36.7,   0.03,
0490200719, 091493, 063103,   46.6,   0.02,
0490200717, 091493, 062724,   61.4,   0.03,
0490200716, 091493, 062523,   76.2,   0.02,
0490200715, 091493, 062336,   86.5,   0.03,
0490200714, 091493, 062137,   96.4,   0.04,
0490200713, 091493, 061950,  105.9,   0.06,
0490200712, 091493, 061805,  116.2,   0.06,
0490200710, 091493, 061437,  125.6,   0.08,
0490200708, 091493, 061111,  136.3,   0.11,
0490200707, 091493, 060857,  154.2,   0.18,
0490200705, 091493, 060454,  177.7,   0.23,
0500200224, 102893, 192601,    5.5,   0.05,
0500200223, 102893, 192335,   50.2,   0.03,
0500200324, 102893, 230313,    6.9,   0.03,
0500200323, 102893, 230047,   37.0,   0.01,
0500200322, 102893, 225940,   44.5,   0.01,
0500200321, 102893, 225839,   54.9,   0.00,
0500200320, 102893, 225644,   85.3,   0.03,
0500200319, 102893, 225433,  117.3,   0.07,
0500200318, 102893, 225235,  171.2,   0.35,
0500200623, 102993, 074530,    7.1,   0.05,
0500200622, 102993, 074421,   17.2,   0.04,
0500200620, 102993, 074255,   27.1,   0.04,
0500200619, 102993, 074117,   37.3,   0.03,
0500200618, 102993, 074000,   48.4,   0.02,
0500200617, 102993, 073831,   58.5,   0.01,
0500200616, 102993, 073558,   80.3,   0.01,
0500200615, 102993, 073442,   78.9,   0.01,
0500200614, 102993, 073318,   93.4,   0.01,
0500200613, 102993, 073200,  105.2,   0.04,
0500200612, 102993, 073009,  117.8,   0.04,
0500200610, 102993, 072754,  125.0,   0.05,
0500200608, 102993, 072512,  138.4,   0.11,
0500200607, 102993, 072336,  148.9,   0.17,
0500200605, 102993, 072023,  176.8,   0.23,
0500200603, 102993, 071650,  197.4,   0.30,
0510200124, 011994, 225101,  106.5,   0.07,
0510200224, 012094, 030147,    7.3,   0.05,
0510200223, 012094, 030021,   42.1,   0.05,
0510200222, 012094, 025837,   87.3,   0.05,
0510200221, 012094, 025736,   93.8,   0.05,
0510200220, 012094, 025652,   98.4,   0.06,
0510200219, 012094, 025539,  128.1,   0.13,
0510200218, 012094, 025415,  160.7,   0.13,
0510200217, 012094, 025249,  199.3,   0.19,
0510200422, 012094, 091215,    7.5,   0.05,
0510200421, 012094, 091156,   17.1,   0.04,
0510200419, 012094, 090954,   27.3,   0.04,
0510200418, 012094, 090940,   36.7,   0.04,
0510200416, 012094, 090726,   62.9,   0.03,
0510200415, 012094, 090613,   76.6,   0.03,
0510200414, 012094, 090504,   85.8,   0.03,
0510200413, 012094, 090409,   96.1,   0.03,
0510200412, 012094, 090312,  106.4,   0.02,
0510200411, 012094, 090218,  114.6,   0.02,
0510200410, 012094, 090118,  125.7,   0.05,
0510200409, 012094, 090023,  136.4,   0.09,
0510200408, 012094, 085920,  153.1,   0.10,
0510200406, 012094, 085648,  168.8,   0.08,
0510201923, 012294, 122706,    5.4,   0.06,
0520200224, 021694, 214130,    5.7,   0.10,
0520200223, 021694, 213740,   79.6,   0.09,
0520200324, 021794, 011101,    6.7,   0.07,
0520200323, 021794, 011006,   12.3,   0.06,
0520200322, 021794, 010910,   28.4,   0.06,
0520200321, 021794, 010731,   52.3,   0.06,
0520200320, 021794, 010547,   97.9,   0.05,
0520200319, 021794, 010423,  120.5,   0.05,
0520200318, 021794, 010300,  148.5,   0.09,
0520200317, 021794, 005856,  176.0,   0.21,
0520200316, 021794, 005647,  194.7,   0.25,
0520200517, 021794, 065711,    4.8,   0.09,
0520200516, 021794, 065604,   15.0,   0.09,
0520200515, 021794, 065455,   25.4,   0.07,
0520200514, 021794, 065351,   35.0,   0.07,
0520200513, 021794, 065249,   44.9,   0.07,
0520200512, 021794, 065129,   61.4,   0.07,
0520200511, 021794, 065000,   77.8,   0.07,
0520200510, 021794, 064852,   85.6,   0.07,
0520200509, 021794, 064752,   95.4,   0.07,
0520200508, 021794, 064651,  106.1,   0.08,
0520200507, 021794, 064545,  114.4,   0.06,
0520200506, 021794, 064445,  125.5,   0.05,
0520200505, 021794, 064343,  135.2,   0.06,
0520200504, 021794, 064230,  150.4,   0.07,
0530200224, 030894, 175032,   14.5,   0.07,
0530200223, 030894, 174613,  159.0,   0.09,
0530200323, 030894, 210734,    6.9,   0.07,
0530200322, 030894, 210638,   17.9,   0.07,
0530200321, 030894, 210455,   39.9,   0.05,
0530200320, 030894, 210236,  115.7,   0.07,
0530200319, 030894, 210126,  124.8,   0.08,
0530200318, 030894, 205957,  143.7,   0.08,
0530200317, 030894, 205752,  197.3,   0.16,
0530200621, 030994, 060838,    4.6,   0.06,
0530200620, 030994, 060708,   14.9,   0.06,
0530200618, 030994, 060546,   25.2,   0.05,
0530200617, 030994, 060448,   36.8,   0.05,
0530200616, 030994, 060347,   45.5,   0.04,
0530200615, 030994, 060226,   60.1,   0.05,
0530200614, 030994, 060130,   75.0,   0.04,
0530200613, 030994, 060043,   83.3,   0.04,
0530200612, 030994, 055938,   95.2,   0.04,
0530200611, 030994, 055837,  104.9,   0.04,
0530200610, 030994, 055737,  115.9,   0.04,
0530200609, 030994, 055642,  125.8,   0.05,
0530200608, 030994, 055535,  135.0,   0.05,
0530200607, 030994, 055225,  149.2,   0.06,
0530200606, 030994, 055126,  159.5,   0.07,
0540200223, 061894, 150610,  179.4,   0.10,
0540200322, 061894, 180537,    4.5,   0.08,
0540200321, 061894, 180324,   36.6,   0.08,
0540200320, 061894, 180024,   65.5,   0.05,
0540200319, 061894, 175801,  100.4,   0.04,
0540200318, 061894, 175512,  125.3,   0.07,
0540200316, 061894, 175124,  193.4,   0.15,
0540201321, 061994, 230633,    5.1,   0.07,
0540201320, 061994, 230503,   14.9,   0.07,
0540201318, 061994, 230339,   24.7,   0.07,
0540201316, 061994, 230056,   44.6,   0.07,
0540201315, 061994, 225936,   59.7,   0.04,
0540201314, 061994, 225807,   75.4,   0.04,
0540201313, 061994, 225646,   84.7,   0.04,
0540201312, 061994, 225524,   95.7,   0.04,
0540201311, 061994, 225403,  105.1,   0.05,
0540201310, 061994, 225242,  113.8,   0.05,
0540201309, 061994, 225114,  125.3,   0.05,
0540201308, 061994, 224943,  136.6,   0.06,
0540201307, 061994, 224807,  150.6,   0.07,
0540201306, 061994, 224639,  157.4,   0.08,
0540201305, 061994, 224509,  175.1,   0.09,
0540201304, 061994, 224325,  185.2,   0.14,
0550200124, 072494, 215008,    4.4,   0.06,
0550200123, 072494, 214636,  155.8,   0.15,
0550200223, 072594, 015043,    5.4,   0.07,
0550200222, 072594, 014853,   16.3,   0.07,
0550200221, 072594, 014711,   24.0,   0.06,
0550200220, 072594, 014510,   48.5,   0.06,
0550200219, 072594, 014255,   77.1,   0.05,
0550200218, 072594, 013947,  119.5,   0.05,
0550200217, 072594, 013656,  164.0,   0.14,
0550200216, 072594, 013449,  172.9,   0.17,
0550200215, 072594, 013234,  199.6,   0.26,
0550200423, 072594, 080830,    4.7,   0.05,
0550200422, 072594, 080712,   14.8,   0.05,
0550200420, 072594, 080534,   24.6,   0.05,
0550200419, 072594, 080425,   34.2,   0.05,
0550200418, 072594, 080309,   43.8,   0.04,
0550200417, 072594, 080147,   59.8,   0.03,
0550200416, 072594, 080028,   74.3,   0.03,
0550200414, 072594, 075845,   84.3,   0.02,
0550200413, 072594, 075707,   94.9,   0.02,
0550200412, 072594, 075548,  104.2,   0.03,
0550200411, 072594, 075431,  115.3,   0.03,
0550200410, 072594, 075215,  124.2,   0.03,
0550200409, 072594, 075043,  134.4,   0.07,
