botid, date, time, press, pn, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0440200912, 012093, 232643,    4.3,  0.279,
0440200911, 012093, 232519,   25.0,  0.314,
0440200910, 012093, 232406,   45.1,  0.307,
0440200909, 012093, 232239,   72.6,  0.321,
0440200908, 012093, 232103,   99.8,  0.268,
0440200907, 012093, 231939,  120.6,  0.244,
0440200906, 012093, 231812,  145.5,  0.146,
0440200905, 012093, 231631,  177.2,  0.098,
0450200320, 021693, 223819,    6.8,  0.356,
0450200319, 021693, 223633,   24.6,  0.366,
0450200318, 021693, 223505,   44.8,  0.397,
0450200317, 021693, 223332,   60.3,  0.390,
0450200316, 021693, 223224,   65.0,  0.418,
0450200315, 021693, 223109,   71.0,  0.383,
0450200314, 021693, 222956,   75.0,  0.356,
0450200313, 021693, 222832,   80.3,  0.216,
0450200312, 021693, 222656,   95.2,  0.188,
0450200311, 021693, 222523,  100.5,  0.178,
0450200310, 021693, 222400,  105.4,  0.181,
0450200309, 021693, 222209,  125.2,  0.139,
0450200308, 021693, 222022,  150.6,  0.084,
0450200307, 021693, 221844,  169.9,  0.077,
0460200518, 041493, 153805,    5.5,  0.390,
0460200517, 041493, 153609,   28.6,  0.383,
0460200516, 041493, 153552,   28.0,  0.370,
0460200515, 041493, 153424,   44.8,  0.342,
0460200514, 041493, 153242,   74.6,  0.335,
0460200513, 041493, 153121,   89.7,  0.342,
0460200512, 041493, 153020,   99.8,  0.397,
0460200511, 041493, 152950,   99.8,  0.390,
0460200510, 041493, 152845,  109.0,  0.411,
0460200509, 041493, 152737,  126.0,  0.314,
0460200508, 041493, 152555,  140.5,  0.300,
0460200507, 041493, 152454,  148.2,  0.188,
0460200506, 041493, 152303,  174.1,  0.146,
0470200618, 052093, 172422,    7.2,  0.300,
0470200616, 052093, 172117,   27.5,  0.307,
0470200615, 052093, 171923,   48.2,  0.237,
0470200614, 052093, 171816,   48.2,  0.286,
0470200613, 052093, 171634,   78.7,  0.300,
0470200612, 052093, 171539,   78.8,  0.293,
0470200611, 052093, 171336,  103.8,  0.307,
0470200610, 052093, 171148,  121.3,  0.265,
0470200607, 052093, 170619,  174.8,  0.119,
0490200422, 091393, 224029,    7.0,  0.300,
0490200421, 091393, 223826,   25.5,  0.314,
0490200420, 091393, 223810,   25.2,  0.314,
0490200419, 091393, 223611,   47.0,  0.314,
0490200418, 091393, 223349,   76.8,  0.342,
0490200417, 091393, 223136,   98.7,  0.300,
0490200416, 091393, 223114,   98.8,  0.335,
