botid, date, time, press, pp, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0440201412, 012193, 144314,    8.8,    9.1,
0440201411, 012193, 144144,   24.1,   10.4,
0440201410, 012193, 144036,   44.5,   15.1,
0440201409, 012193, 143923,   75.5,   14.8,
0440201408, 012193, 143812,  100.3,   10.7,
0440201407, 012193, 143657,  126.3,    7.3,
0440201406, 012193, 143543,  151.9,    6.3,
0440201405, 012193, 143422,  177.7,    4.7,
0450200418, 021793, 010246,    5.1,   15.1,
0450200417, 021793, 010056,   25.3,   15.5,
0450200416, 021793, 005913,   45.4,   18.0,
0450200415, 021793, 005738,   75.0,   13.2,
0450200414, 021793, 005625,   79.7,   19.5,
0450200413, 021793, 005451,   84.8,   17.7,
0450200412, 021793, 005256,   89.8,   18.0,
0450200411, 021793, 005134,   95.1,   16.1,
0450200410, 021793, 004917,   99.9,   15.8,
0450200409, 021793, 004733,  125.4,    7.9,
0450200408, 021793, 004600,  150.5,    6.0,
0450200407, 021793, 004343,  176.4,    6.0,
0460200517, 041493, 153609,   28.6,   19.9,
0460200515, 041493, 153424,   44.8,   19.9,
0460200512, 041493, 153020,   99.8,   19.2,
0460201024, 041593, 104106,    5.4,   19.2,
0460201015, 041593, 103017,   24.3,   17.7,
0460201014, 041593, 102834,   44.2,   17.0,
0460201013, 041593, 102640,   75.6,   18.9,
0460201012, 041593, 102446,   90.3,   17.7,
0460201011, 041593, 102259,   99.3,   17.0,
0460201010, 041593, 102137,  105.4,   18.3,
0460201009, 041593, 102018,  109.9,   25.9,
0460201008, 041593, 101837,  114.4,   14.5,
0460201007, 041593, 101547,  121.1,   14.5,
0460201006, 041593, 101348,  124.5,   14.2,
0460201005, 041593, 101213,  134.3,   13.6,
0460201004, 041593, 101018,  148.0,   14.2,
0460201003, 041593, 100810,  173.4,   10.1,
0470200718, 052093, 201307,    6.8,   17.7,
0470200716, 052093, 201014,   28.0,   21.1,
0470200715, 052093, 200817,   48.1,   20.5,
0470200714, 052093, 200726,   48.0,   18.6,
0470200713, 052093, 200443,   78.7,   20.5,
0470200712, 052093, 200332,   77.8,   19.2,
0470200711, 052093, 200138,  100.5,   18.0,
0470200710, 052093, 195946,  119.9,   15.4,
0470200709, 052093, 195804,  138.9,   12.6,
0470200708, 052093, 195633,  148.5,   12.3,
0470200707, 052093, 195449,  174.5,    8.5,
0470200706, 052093, 195301,  204.2,    6.0,
0490200522, 091493, 011743,    6.9,   15.1,
0490200521, 091493, 011504,   26.6,   18.6,
0490200520, 091493, 011444,   26.7,   19.5,
0490200519, 091493, 011230,   48.3,   18.6,
0490200518, 091493, 010954,   76.8,   19.5,
0490200517, 091493, 010714,  102.1,   14.2,
0490200516, 091493, 010655,  102.0,   15.8,
0490200513, 091493, 010158,  125.0,   16.4,
0490200509, 091493, 005640,  148.6,    8.8,
0490200507, 091493, 005414,  175.4,    5.7,
0500201019, 102993, 205241,    7.4,   16.1,
0500201018, 102993, 205024,   26.3,   16.1,
0500201017, 102993, 204846,   45.8,   19.5,
0500201016, 102993, 204703,   65.8,   17.7,
0500201014, 102993, 204315,  100.7,   12.9,
0500201013, 102993, 204131,  105.0,   12.6,
0500201012, 102993, 204011,  110.0,   10.4,
0500201011, 102993, 203852,  120.7,    7.6,
0500201010, 102993, 203749,  126.9,    9.5,
0500201007, 102993, 203356,  152.7,    5.7,
0500201006, 102993, 203203,  177.5,    4.4,
0510200823, 012094, 212030,    6.9,    8.5,
0510200822, 012094, 211822,   12.6,   13.2,
