botid, date, time, press, pbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
0440201312, 012193, 114728,    5.2,  1.943,
0440201311, 012193, 114612,   24.7,  1.962,
0440201310, 012193, 114512,   43.4,  2.005,
0440201309, 012193, 114355,   74.6,  1.896,
0440201308, 012193, 114258,   90.0,  1.402,
0440201306, 012193, 114106,  113.4,  0.455,
0440201305, 012193, 114002,  124.5,  0.189,
0440201304, 012193, 113843,  150.9,  0.059,
0440201303, 012193, 113719,  176.5,  0.004,
0450201521, -00009, -00009,    5.8,  1.371,
0450201520, -00009, -00009,   26.1,  1.515,
0450201519, -00009, -00009,   46.0,  1.873,
0450201518, -00009, -00009,   64.9,  1.292,
0450201517, -00009, -00009,   71.0,  1.527,
0450201516, 021893, 094807,   75.5,  1.139,
0450201515, 021893, 094627,   85.2,  0.897,
0450201514, 021893, 094501,   95.2,  0.812,
0450201513, 021893, 094357,  105.2,  0.722,
0450201512, 021893, 094300,  125.2,  0.153,
0450201511, 021893, 094205,  150.9,  0.059,
0450201510, 021893, 094111,  176.6,  0.005,
0460200924, 041593, 074146,    5.8,  1.284,
0460200923, 041593, 073917,   23.7,  1.517,
0460200922, 041593, 073706,   43.8,  1.638,
0460200921, 041593, 073446,   74.2,  1.745,
0460200920, 041593, 073259,   89.6,  1.658,
0460200919, 041593, 073056,  100.2,  1.651,
0460200918, 041593, 072907,  103.7,  1.610,
0460200917, 041593, 072714,  109.2,  1.047,
0460200911, 041593, 071518,  119.5,  1.128,
0460200909, 041593, 071047,  135.1,  0.478,
0460200908, 041593, 070838,  149.8,  0.256,
0460200903, 041593, 065936,  173.1,  0.073,
0470200323, 052093, 075043,   24.5,  1.752,
0470200322, 052093, 074926,   45.1,  1.707,
0470200321, 052093, 074754,   75.7,  2.483,
0470200320, 052093, 074629,  100.7,  1.801,
0470200319, 052093, 074528,  109.4,  1.460,
0470200318, 052093, 074420,  119.2,  1.141,
0470200317, 052093, 074250,  128.8,  0.657,
0470200316, 052093, 074152,  135.1,  0.555,
0470200310, 052093, 073817,  144.1,  0.464,
0470200309, 052093, 073646,  160.8,  0.261,
