botid, date, time, press, sigma, tdp, 
#, mmddyy, hhmmss, dbar, kg/m3, umol/kg, 
0440200212, 012093, 012624,    8.9, 23.994,  -9.00,
0440200211, 012093, 012521,   34.5, 24.007,  -9.00,
0440200210, 012093, 012413,   53.9, 24.067,  -9.00,
0440200209, 012093, 012228,  101.7, 24.106,  -9.00,
0440200208, 012093, 012138,  105.5, 24.109,  -9.00,
0440200207, 012093, 012005,  146.7, 24.383,  -9.00,
0440200206, 012093, 011740,  229.1, 25.204,  -9.00,
0440200205, 012093, 011543,  279.6, 25.632,  -9.00,
0440200204, 012093, 011431,  297.7, 25.713,  -9.00,
0440200312, 012093, 044825,  275.4, 25.598,   0.56,
0440200311, 012093, 044234,  299.5, 25.734,   0.67,
0440200412, 012093, 065339,  135.1, 24.230,   0.25,
0440200411, 012093, 064858,  149.7, 24.497,   0.35,
0440200410, 012093, 064754,  160.5, 24.627,   0.40,
0440200409, 012093, 064644,  173.8, 24.893,  -9.00,
0440200408, 012093, 064544,  198.1, 25.184,   0.37,
0440200407, 012093, 064443,  198.1, 25.184,  -9.00,
0440200406, 012093, 064323,  209.9, 25.320,   0.42,
0440200405, 012093, 064224,  226.2, 25.461,   0.52,
0440200404, 012093, 064110,  233.5, 25.486,   0.62,
0440200403, 012093, 064006,  249.3, 25.554,   0.54,
0440200401, 012093, 061847,    8.9, 24.015,  -9.00,
0440200512, 012093, 100604,    9.1, 24.031,   0.26,
0440200511, 012093, 100428,   24.7, 24.061,   0.22,
0440200510, 012093, 100321,   35.6, 24.072,   0.26,
0440200509, 012093, 100211,   45.3, 24.074,   0.33,
0440200508, 012093, 100055,   58.5, 24.082,  -9.00,
0440200507, 012093, 095907,   75.5, 24.090,   0.27,
0440200506, 012093, 095814,   86.1, 24.090,   0.28,
0440200505, 012093, 095707,   95.3, 24.091,   0.30,
0440200504, 012093, 095551,  104.0, 24.092,   0.27,
0440200503, 012093, 095502,  111.2, 24.093,  -9.00,
0440200502, 012093, 095354,  130.4, 24.123,   0.25,
0440200612, 012093, 142255,    6.4, 24.049,  -9.00,
0440200611, 012093, 142230,    6.5, 24.048,  -9.00,
0440200610, 012093, 142212,    6.6, 24.049,  -9.00,
0440200609, 012093, 141725,  177.4, 24.702,  -9.00,
0440200712, 012093, 174715,    3.9, 24.007,  -9.00,
0440200711, 012093, 174250,  165.0, 24.404,  -9.00,
0440200710, 012093, 174228,  164.7, 24.399,  -9.00,
0440200709, 012093, 174208,  164.8, 24.398,  -9.00,
0440200708, 012093, 174150,  164.7, 24.398,  -9.00,
0440200707, 012093, 174032,  173.8, 24.569,  -9.00,
0440200812, 012093, 200615,    4.3, 23.937,  -9.00,
0440200811, 012093, 200450,   25.0, 23.969,  -9.00,
0440200810, 012093, 200347,   44.2, 24.016,  -9.00,
0440200809, 012093, 200226,   75.5, 24.103,  -9.00,
0440200808, 012093, 200114,   98.6, 24.113,  -9.00,
0440200807, 012093, 195958,  123.6, 24.156,  -9.00,
0440200806, 012093, 195830,  149.6, 24.465,  -9.00,
0440200805, 012093, 195657,  174.1, 24.880,  -9.00,
0440200804, 012093, 195421,  246.8, 25.549,  -9.00,
0440200912, 012093, 232643,    4.3, 23.897,  -9.00,
0440200911, 012093, 232519,   25.0, 23.939,  -9.00,
0440200910, 012093, 232406,   45.1, 24.013,  -9.00,
0440200909, 012093, 232239,   72.6, 24.106,  -9.00,
0440200908, 012093, 232103,   99.8, 24.119,  -9.00,
0440200907, 012093, 231939,  120.6, 24.166,  -9.00,
0440200906, 012093, 231812,  145.5, 24.384,  -9.00,
0440200905, 012093, 231631,  177.2, 24.896,  -9.00,
0440200904, 012093, 231357,  239.7, 25.519,  -9.00,
0440201004, 012193, 022926,    5.2, 23.897,  -9.00,
0440201003, 012193, 022557,  131.8, 24.198,  -9.00,
0440201104, 012193, 053359,   10.7, 23.927,  -9.00,
0440201103, 012193, 053029,  142.8, 24.526,  -9.00,
0440201210, 012193, 082916,   11.3, 23.850,  -9.00,
0440201209, 012193, 082905,   11.3, 23.851,  -9.00,
0440201208, 012193, 082847,   11.3, 23.852,  -9.00,
0440201207, 012193, 082832,   11.3, 23.854,  -9.00,
0440201206, 012193, 082716,   27.7, 23.850,  -9.00,
0440201205, 012193, 082657,   27.6, 23.851,  -9.00,
0440201204, 012193, 082649,   27.6, 23.851,  -9.00,
0440201203, 012193, 082326,  143.8, 24.655,  -9.00,
0440201312, 012193, 114728,    5.2, 23.850,  -9.00,
0440201311, 012193, 114612,   24.7, 23.850,  -9.00,
0440201310, 012193, 114512,   43.4, 23.849,  -9.00,
0440201309, 012193, 114355,   74.6, 23.849,  -9.00,
0440201308, 012193, 114258,   90.0, 23.859,  -9.00,
0440201307, 012193, 114205,  101.3, 23.898,  -9.00,
0440201306, 012193, 114106,  113.4, 24.239,  -9.00,
0440201305, 012193, 114002,  124.5, 24.382,  -9.00,
0440201304, 012193, 113843,  150.9, 24.684,  -9.00,
0440201303, 012193, 113719,  176.5, 24.994,  -9.00,
0440201412, 012193, 144314,    8.8, 23.853,  -9.00,
0440201411, 012193, 144144,   24.1, 23.852,  -9.00,
0440201410, 012193, 144036,   44.5, 23.852,  -9.00,
0440201409, 012193, 143923,   75.5, 23.852,  -9.00,
0440201408, 012193, 143812,  100.3, 23.913,  -9.00,
0440201407, 012193, 143657,  126.3, 24.317,  -9.00,
0440201406, 012193, 143543,  151.9, 24.618,  -9.00,
0440201405, 012193, 143422,  177.7, 24.825,  -9.00,
0440201404, 012193, 143210,  243.5, 25.350,  -9.00,
0440201512, 012193, 173210,  163.0, 24.714,  -9.00,
0440201511, 012193, 172830,  163.0, 24.714,  -9.00,
0440201510, 012193, 172810,  163.0, 24.713,  -9.00,
0440201509, 012193, 172742,  162.5, 24.712,  -9.00,
0440201508, 012193, 172715,  161.7, 24.711,  -9.00,
0440201507, 012193, 172550,  178.5, 24.933,  -9.00,
0440201609, 012193, 202911,    8.7, 23.857,  -9.00,
0440201608, 012193, 202852,    8.8, 23.857,  -9.00,
0440201607, 012193, 202605,  100.8, 24.228,  -9.00,
0440201606, 012193, 202545,  100.7, 24.227,  -9.00,
0440201712, 012293, 001237,    7.2, 23.843,  -9.00,
0440201711, 012293, 001032,   49.1, 23.863,  -9.00,
0440201710, 012293, 000916,   79.1, 23.875,  -9.00,
0440201709, 012293, 000822,   90.8, 24.120,  -9.00,
0440201708, 012293, 000718,  101.8, 24.223,  -9.00,
0440201707, 012293, 000609,  123.4, 24.454,  -9.00,
0440201706, 012293, 000412,  147.7, 24.794,  -9.00,
0440201705, 012293, 000231,  180.4, 25.119,  -9.00,
0440201704, 012193, 235734,  293.8, 25.765,  -9.00,
0440201804, 012293, 025253,    7.3, 23.848,  -9.00,
0440201803, 012293, 024922,  104.7, 24.261,  -9.00,
0440201905, 012293, 054441,    7.7, 23.853,  -9.00,
0440201904, 012293, 054126,  145.2, 24.598,  -9.00,
0440201903, 012293, 053750,  296.3, 25.731,  -9.00,
0440202004, -00009, -00009,    7.7, 23.863,  -9.00,
0440202003, -00009, -00009,  152.7, 24.757,  -9.00,
0450200123, 021693, 161120,   10.7, 23.846,  -9.00,
0450200122, 021693, 160720,   81.2, 24.275,  -9.00,
0450200224, 021693, 193718,    7.7, 23.881,  -9.00,
0450200223, 021693, 193555,   15.7, 23.897,  -9.00,
0450200222, 021693, 193424,   25.8, 23.940,  -9.00,
0450200221, 021693, 193206,   50.7, 23.975,  -9.00,
0450200220, 021693, 192944,   95.4, 24.469,  -9.00,
0450200219, 021693, 192747,  100.4, 24.488,  -9.00,
0450200218, 021693, 192619,  110.5, 24.635,  -9.00,
0450200217, 021693, 192346,  144.5, 24.883,  -9.00,
0450200216, 021693, 192013,  225.4, 25.504,  -9.00,
0450200320, 021693, 223819,    6.8, 23.657,  -9.00,
0450200319, 021693, 223633,   24.6, 23.735,  -9.00,
0450200318, 021693, 223505,   44.8, 23.938,  -9.00,
0450200317, 021693, 223332,   60.3, 24.012,  -9.00,
0450200316, 021693, 223224,   65.0, 24.043,  -9.00,
0450200315, 021693, 223109,   71.0, 24.090,  -9.00,
0450200314, 021693, 222956,   75.0, 24.104,  -9.00,
0450200313, 021693, 222832,   80.3, 24.219,  -9.00,
0450200312, 021693, 222656,   95.2, 24.425,  -9.00,
0450200311, 021693, 222523,  100.5, 24.450,  -9.00,
0450200310, 021693, 222400,  105.4, 24.501,  -9.00,
0450200309, 021693, 222209,  125.2, 24.823,  -9.00,
0450200308, 021693, 222022,  150.6, 24.947,  -9.00,
0450200307, 021693, 221844,  169.9, 25.133,  -9.00,
0450200306, 021693, 221503,  254.5, 25.730,  -9.00,
0450200418, 021793, 010246,    5.1, 23.624,  -9.00,
0450200417, 021793, 010056,   25.3, 23.724,  -9.00,
0450200416, 021793, 005913,   45.4, 23.915,  -9.00,
0450200415, 021793, 005738,   75.0, 23.993,  -9.00,
0450200414, 021793, 005625,   79.7, 24.039,  -9.00,
0450200413, 021793, 005451,   84.8, 24.055,  -9.00,
0450200412, 021793, 005256,   89.8, 24.103,  -9.00,
0450200411, 021793, 005134,   95.1, 24.172,  -9.00,
0450200410, 021793, 004917,   99.9, 24.298,  -9.00,
0450200409, 021793, 004733,  125.4, 24.743,  -9.00,
0450200408, 021793, 004600,  150.5, 24.928,  -9.00,
0450200407, 021793, 004343,  176.4, 25.225,  -9.00,
0450200406, 021793, 004049,  250.8, 25.728,  -9.00,
0450200518, 021793, 045237,    5.1, 23.568,  -9.00,
0450200517, 021793, 044816,  118.9, 24.717,  -9.00,
0450200516, 021793, 044537,  209.4, 25.561,  -9.00,
0450200515, 021793, 044412,  224.3, 25.677,   0.63,
0450200514, 021793, 043957,  234.5, 25.707,   0.71,
0450200513, 021793, 043847,  249.5, 25.810,   0.67,
0450200512, 021793, 043733,  274.9, 25.938,   0.79,
0450200511, 021793, 043613,  299.7, 25.999,   0.86,
0450200623, 021793, 071048,    5.2, 23.624,  -9.00,
0450200622, 021793, 071036,    5.2, 23.624,  -9.00,
0450200621, 021793, 071005,    5.1, 23.624,   0.24,
0450200620, 021793, 070835,   14.9, 23.638,  -9.00,
0450200619, 021793, 070732,   24.3, 23.767,  -9.00,
0450200618, 021793, 070703,   24.3, 23.770,   0.23,
0450200617, 021793, 070557,   35.5, 23.945,   0.27,
0450200616, 021793, 070450,   45.4, 23.992,   0.24,
0450200615, 021793, 070319,   58.7, 24.084,   0.25,
0450200614, 021793, 070157,   74.3, 24.143,   0.27,
0450200613, 021793, 070040,   84.6, 24.266,   0.25,
0450200612, 021793, 065942,   94.6, 24.349,   0.27,
0450200611, 021793, 065829,  104.7, 24.509,   0.26,
0450200610, 021793, 065657,  114.5, 24.640,   0.31,
0450200609, 021793, 065354,  124.5, 24.788,   0.38,
