botid, date, time, press, theta, 
#, mmddyy, hhmmss, dbar, ITS-90, 
0440200212, 012093, 012624,    8.9, 22.8998,
0440200211, 012093, 012521,   34.5, 22.8613,
0440200210, 012093, 012413,   53.9, 22.7739,
0440200209, 012093, 012228,  101.7, 22.6842,
0440200208, 012093, 012138,  105.5, 22.6778,
0440200207, 012093, 012005,  146.7, 21.9073,
0440200412, 012093, 065339,  135.1, 22.4284,
0440200411, 012093, 064858,  149.7, 21.4807,
0440200410, 012093, 064754,  160.5, 20.9790,
0440200409, 012093, 064644,  173.8, 19.8654,
0440200408, 012093, 064544,  198.1, 18.4387,
0440200407, 012093, 064443,  198.1, 18.4387,
0440200401, 012093, 061847,    8.9, 22.8440,
0440200512, 012093, 100604,    9.1, 22.8083,
0440200511, 012093, 100428,   24.7, 22.7883,
0440200510, 012093, 100321,   35.6, 22.7693,
0440200509, 012093, 100211,   45.3, 22.7622,
0440200508, 012093, 100055,   58.5, 22.7467,
0440200507, 012093, 095907,   75.5, 22.7333,
0440200506, 012093, 095814,   86.1, 22.7326,
0440200505, 012093, 095707,   95.3, 22.7325,
0440200504, 012093, 095551,  104.0, 22.7325,
0440200503, 012093, 095502,  111.2, 22.7329,
0440200502, 012093, 095354,  130.4, 22.6826,
0440200612, 012093, 142255,    6.4, 22.7731,
0440200611, 012093, 142230,    6.5, 22.7839,
0440200610, 012093, 142212,    6.6, 22.7809,
0440200609, 012093, 141725,  177.4, 20.6775,
0440200712, 012093, 174715,    3.9, 22.8927,
0440200711, 012093, 174250,  165.0, 21.8005,
0440200710, 012093, 174228,  164.7, 21.8210,
0440200709, 012093, 174208,  164.8, 21.8245,
0440200708, 012093, 174150,  164.7, 21.8298,
0440200707, 012093, 174032,  173.8, 21.1821,
0440200812, 012093, 200615,    4.3, 23.0369,
0440200811, 012093, 200450,   25.0, 22.9698,
0440200810, 012093, 200347,   44.2, 22.8772,
0440200809, 012093, 200226,   75.5, 22.7078,
0440200808, 012093, 200114,   98.6, 22.6803,
0440200807, 012093, 195958,  123.6, 22.5605,
0440200806, 012093, 195830,  149.6, 21.5699,
0440200805, 012093, 195657,  174.1, 19.9067,
0440200912, 012093, 232643,    4.3, 23.1791,
0440200911, 012093, 232519,   25.0, 23.0554,
0440200910, 012093, 232406,   45.1, 22.8979,
0440200909, 012093, 232239,   72.6, 22.7156,
0440200908, 012093, 232103,   99.8, 22.6679,
0440200907, 012093, 231939,  120.6, 22.5411,
0440200906, 012093, 231812,  145.5, 21.8806,
0440200905, 012093, 231631,  177.2, 19.8518,
